"Genus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision.(e.g..GPS;.~10km)","Year","month","day","Collector","Determiner","Female","Male","Worker","Not.specified","Reference.(doi)","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Lasioglossum","buccale",NA,"Spain","Cádiz","Benaocaz",NA,NA,NA,2011,"June",14,"I.M. Liberal & J.L. Blanco","C. Ornosa",NA,NA,NA,4,"https://doi.org/10.1111/plb.12588","Antirrhinum australe","42IML11","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Xylocopa","violacea",NA,"Spain","Cádiz","Benaocaz",NA,NA,NA,2011,"June",14,"I.M. Liberal & J.L. Blanco","C. Ornosa",NA,NA,NA,3,"https://doi.org/10.1111/plb.12588","Antirrhinum australe",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Xylocopa","violacea",NA,"Spain","Cádiz","Zahara de la Sierra",NA,NA,NA,2012,"May",18,"I.M. Liberal & J.L. Blanco","C. Ornosa",NA,NA,NA,14,"https://doi.org/10.1111/plb.12588","Antirrhinum australe",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Bombus","ruderatus",NA,"Spain","Cádiz","Zahara de la Sierra",NA,NA,NA,2012,"May",18,"I.M. Liberal & J.L. Blanco","C. Ornosa",NA,NA,NA,6,"https://doi.org/10.1111/plb.12588","Antirrhinum australe",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Rhodanthidium","sticticum",NA,"Spain","Cádiz","Zahara de la Sierra",NA,NA,NA,2012,"May",18,"I.M. Liberal & J.L. Blanco","C. Ornosa",NA,NA,NA,6,"https://doi.org/10.1111/plb.12588","Antirrhinum australe",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Rhodanthidium","sticticum",NA,"Spain","Córdoba","MonasterioVirgen de la Sierra. Córdoba",NA,NA,NA,2012,"May",25,"I.M. Liberal & J.L. Blanco","C. Ornosa",NA,NA,NA,14,"https://doi.org/10.1111/plb.12588","Antirrhinum australe",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Xylocopa","violacea",NA,"Spain","Córdoba","MonasterioVirgen de la Sierra. Córdoba",NA,NA,NA,2012,"May",25,"I.M. Liberal & J.L. Blanco","C. Ornosa",NA,NA,NA,8,"https://doi.org/10.1111/plb.12588","Antirrhinum australe",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Antophora","atroalba",NA,"Spain","Córdoba","MonasterioVirgen de la Sierra. Córdoba",NA,NA,NA,2012,"May",25,"I.M. Liberal & J.L. Blanco","C. Ornosa",NA,NA,NA,1,"https://doi.org/10.1111/plb.12588","Antirrhinum australe",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Rhodanthidium","sticticum",NA,"Spain","Almería","Mojácar-Carboneras. Agua del Medio Sopalmo",NA,NA,NA,2011,"April",28,"I.M. Liberal & J.L. Blanco","C. Ornosa",NA,NA,NA,9,"https://doi.org/10.1111/plb.12588","Antirrhinum controversum","5IML11","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Ceratina","cucurbitina",NA,"Spain","Almería","Mojácar-Carboneras. Agua del Medio Sopalmo",NA,NA,NA,2011,"April",28,"I.M. Liberal & J.L. Blanco","C. Ornosa",NA,NA,NA,2,"https://doi.org/10.1111/plb.12588","Antirrhinum controversum","7IML11","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Anthidium ","manicatum",NA,"Spain","Almería","Mojácar-Carboneras. Agua del Medio Sopalmo",NA,NA,NA,2011,"April",28,"I.M. Liberal & J.L. Blanco","C. Ornosa",NA,NA,NA,1,"https://doi.org/10.1111/plb.12588","Antirrhinum controversum","3IML11","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Antophora","femorata",NA,"Spain","Salamanca","Sierra de Béjar. Laguna del Duque",NA,NA,NA,2013,"July",28,"I.M. Liberal & J.L. Blanco","C. Ornosa",NA,NA,NA,1,"https://doi.org/10.1111/plb.12588","Antirrhinum grossi","3IML11","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Bombus","terrestris",NA,"Spain","Salamanca","Sierra de Béjar. Laguna del Duque",NA,NA,NA,2013,"July",28,"I.M. Liberal & J.L. Blanco","C. Ornosa",NA,NA,NA,1,"https://doi.org/10.1111/plb.12588","Antirrhinum grossi",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Bombus","ruderatus",NA,"Spain","Zamora","Corporario. Playa del Rostro",NA,NA,NA,2011,"May",10,"I.M. Liberal & J.L. Blanco","C. Ornosa",NA,NA,NA,7,"https://doi.org/10.1111/plb.12588","Antirrhinum lopesianum",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Bombus","ruderatus",NA,"Spain","Zamora","Corporario. Playa del Rostro",NA,NA,NA,2013,"June",13,"I.M. Liberal & J.L. Blanco","C. Ornosa",NA,NA,NA,2,"https://doi.org/10.1111/plb.12588","Antirrhinum lopesianum","25IML13","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Rhodanthidium","sticticum",NA,"Spain","Guadalajara","Sacedón. Buendía",NA,NA,NA,2011,"May",18,"I.M. Liberal & J.L. Blanco","C. Ornosa",NA,NA,NA,2,"https://doi.org/10.1111/plb.12588","Antirrhinum microphylum",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Osmia","cornuta",NA,"Spain","Guadalajara","Sacedón. Buendía",NA,NA,NA,2011,"May",18,"I.M. Liberal & J.L. Blanco","C. Ornosa",NA,NA,NA,1,"https://doi.org/10.1111/plb.12588","Antirrhinum microphylum",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Bombus","pascuorum",NA,"Spain","Tarragona","La Pobla de Benifassá. Barranco del Infierno",40.7,0.196,"GPS",2011,"May",21,"I.M. Liberal & J.L. Blanco","C. Ornosa",NA,NA,NA,7,"https://doi.org/10.1111/plb.12588","Antirrhinum pertegasii",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Bombus","pratorum",NA,"Spain","Tarragona","La Pobla de Benifassá. Barranco del Infierno",40.7,0.196,"GPS",2011,"May",21,"I.M. Liberal & J.L. Blanco","C. Ornosa",NA,NA,NA,2,"https://doi.org/10.1111/plb.12588","Antirrhinum pertegasii",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Bombus","pascuorum",NA,"Spain","Tarragona","La Pobla de Benifassá. Barranco del Infierno",40.7,0.196,"GPS",2011,"May",22,"I.M. Liberal & J.L. Blanco","C. Ornosa",NA,NA,NA,12,"https://doi.org/10.1111/plb.12588","Antirrhinum pertegasii","16IML11","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Bombus","pratorum",NA,"Spain","Tarragona","La Pobla de Benifassá. Barranco del Infierno",40.7,0.196,"GPS",2011,"May",22,"I.M. Liberal & J.L. Blanco","C. Ornosa",NA,NA,NA,7,"https://doi.org/10.1111/plb.12588","Antirrhinum pertegasii",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Bombus","terrestris",NA,"Spain","Valencia","Cantera Els Corrals. Simat de la Valldigna. Umbría del Buixcarró",NA,NA,NA,2011,"May",4,"I.M. Liberal & N. Vilallón","C. Ornosa",NA,NA,NA,1,"https://doi.org/10.1111/plb.12588","Antirrhinum valentinum",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Antophora","plumipes",NA,"Spain","Zaragoza","Nuevalos. Río Piedra",NA,NA,NA,2013,"May",25,"I.M. Liberal, D. Romero & J.L. Blanco","C. Ornosa",NA,NA,NA,12,"https://doi.org/10.1111/plb.12588","Antirrhinum pulverulentum","14IML13","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Antophora","fulvitarsis",NA,"Spain","Zaragoza","Nuevalos. Río Piedra",NA,NA,NA,2013,"May",25,"I.M. Liberal, D. Romero & J.L. Blanco","C. Ornosa",NA,NA,NA,25,"https://doi.org/10.1111/plb.12588","Antirrhinum pulverulentum","15IML13","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Rhodanthidium","sticticum",NA,"Spain","Zaragoza","Nuevalos. Río Piedra",NA,NA,NA,2013,"May",25,"I.M. Liberal, D. Romero & J.L. Blanco","C. Ornosa",NA,NA,NA,7,"https://doi.org/10.1111/plb.12588","Antirrhinum pulverulentum","17IML13","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Lasioglossum","buccale",NA,"Spain","Zaragoza","Nuevalos. Río Piedra",NA,NA,NA,2013,"May",25,"I.M. Liberal, D. Romero & J.L. Blanco","C. Ornosa",NA,NA,NA,1,"https://doi.org/10.1111/plb.12588","Antirrhinum pulverulentum","18IML13","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Anthidium","oblongatum",NA,"Spain","Granada","Güejar-Sierra",NA,NA,NA,2010,"May",24,"I.M. Liberal & J.L. Blanco","C. Ornosa",NA,NA,NA,1,"https://doi.org/10.1111/plb.12588","Antirrhinum rupestre","102JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Antophora","crassipes",NA,"Spain","Granada","Trevenque. Camino hacia Jardín Botánico La Carihuela",NA,NA,NA,2010,"May",25,"I.M. Liberal & J.L. Blanco","C. Ornosa",NA,NA,NA,4,"https://doi.org/10.1111/plb.12588","Antirrhinum rupestre","110JB10","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
