Genus;Subgenus;Species;Subspecies;Country;Province;Locality;Latitude;Longitude;Coordinate.precision;Year;Month;Day;Start.date;End.date;Collector;Determined.by;Female;Male;Worker;Not.specified;Reference.doi;Flowers.visited;Local_ID;Authors.to.give.credit;Any.other.additional.data;Notes.and.queries
Hylaeus;Hylaeus;nigrifacies;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Hylaeus;Lambdopsis;dilatatus;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Hylaeus;Paraprosopis;clypearis;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Hylaeus;Paraprosopis;lineolatus;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Hylaeus;Paraprosopis;pictipes;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Hylaeus;Prosopis;gibbus;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Hylaeus;Prosopis;pictus;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Hylaeus;Prosopis;purpurissatus;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Hylaeus;Prosopis;variegatus;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Hylaeus;Spatulariella;hyalinatus;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Hylaeus;Spatulariella;punctatus;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Halictus;Hexataenites;cochlearitarsis;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Halictus;Hexataenites;fulvipes;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Halictus;Hexataenites;scabiosae;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Halictus;Monilapis;compressus;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Lasioglossum;Hemihalictus;brevicorne;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Lasioglossum;Hemihalictus;buccale;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Lasioglossum;Hemihalictus;griseolum;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Lasioglossum;Hemihalictus;ibericum;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
Lasioglossum;Hemihalictus;limbellum;NA;Spain;Tarragona;Terra alta;40.93475337;0.275236117;NA;2024;July;NA;13;19;NA;NA;NA;NA;NA;NA;10.2436/20.1502.01.222;;;Carlos Martínez-Castellano, Nil Guerrero, Rafael Carbonell Font, José Luis Romero, Alba Llovet and Jordi Margalef-Marrasé;;
