Genus;Subgenus;Species;Locality;Municipe;Province;Country;Day;Month;Year;;Altitud;UTM;Collector;Determined.by;Year.ident;Male;Female;Proced/caja;Notes.and.queries
Peusoanthidium;Peusoanthidium;lituratum;Pozo de Juan López;Vélez Blanco;Almería;España;19;07;2009;;1180;30SWG6987;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Peusoanthidium;Peusoanthidium;lituratum;Pozo de Juan López;Vélez Blanco;Almería;España;19;07;2009;;1180;30SWG6987;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Lithurgus;NA;chrysurus   ;Dehesa del Camarate, Lugros;Lugros;Granada;España;28;07;2009;;2000;30SVG7613;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Lithurgus;NA;chrysurus   ;Dehesa del Camarate, Lugros;Lugros;Granada;España;28;07;2009;;2000;30SVG7613;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Lithurgus;NA;chrysurus   ;Dehesa del Camarate, Lugros;Lugros;Granada;España;28;07;2009;;2000;30SVG7613;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Lithurgus;NA;chrysurus   ;Macián;Vélez Blanco;Almería;España;19;07;2009;;1200;30SWG6893;J. Ortiz;J. Ortiz;NA;1;NA;Almería/ UCME;NA
Lithurgus;NA;chrysurus   ;Macián;Vélez Blanco;Almería;España;19;07;2009;;1200;30SWG6893;J. Ortiz;J. Ortiz;NA;1;NA;Almería/ UCME;NA
Lithurgus;NA;chrysurus   ;Macián;Vélez Blanco;Almería;España;19;07;2009;;1200;30SWG6893;J. Ortiz;J. Ortiz;NA;1;NA;Almería/ UCME;NA
Lithurgus;NA;chrysurus   ;Macián;Vélez Blanco;Almería;España;19;07;2009;;1200;30SWG6893;J. Ortiz;J. Ortiz;NA;1;NA;Almería/ UCME;NA
Lithurgus;NA;chrysurus   ;Macián;Vélez Blanco;Almería;España;19;07;2009;;1200;30SWG6893;J. Ortiz;J. Ortiz;NA;1;NA;Almería/ UCME;NA
Lithurgus;NA;chrysurus   ;Macián;Vélez Blanco;Almería;España;19;07;2009;;1200;30SWG6893;J. Ortiz;J. Ortiz;NA;1;NA;Almería/ UCME;NA
Lithurgus;NA;chrysurus ;Pozo de Juan López;Vélez Blanco;Almería;España;19;07;2009;;1180;30SWG6987;J. Ortiz;J. Ortiz;NA;1;NA;Almería/ UCME;NA
