id;FAMILIA;GeNERO;SUBGÃ‰NERO;ESPECIE;SUBESPECIE;SEXO;DÃA;MES;AÃ‘O;LOCALIDAD;PROVINCIA;COLECTOR;DETERMINADOR;en quÃ© planta
OA109;NA;Pangonius;NA;sp;NA;NA;20;8;2016;San Bernardo;Va;G. Aguado;L.O. A.M;Cirsium arvense
OA110;NA;Pangonius;NA;sp;NA;NA;15;7;2016;Olmedo;Va;G. Aguado;NA;NA
OA111;NA;Eristalis;NA;arbustorum;NA;Macho;14;5;2016;Olmedo;Va;G. Aguado;P. A. Fidalgo;NA
OA112;NA;Chrysis;NA;elegans;NA;NA;13;9;2016;San Bernardo;Va;G. Aguado;L.O. A.M;Eryngium campestre
OA113;NA;Chrysis;NA;elegans;NA;NA;13;9;2016;Vilalba de los Alcores;Va;G. Aguado;L.O. A.M;Senecio vulgaris
OA114;NA;Chrysis;NA;elegans;NA;NA;13;9;2016;San Bernardo;Va;G. Aguado;L.O. A.M;Eryngium campestre
OA115;NA;Chrysis;NA;elegans;NA;NA;13;5;2016;San Bernardo;Va;G. Aguado;NA;NA
OA116;NA;Chrysis;NA;elegans;NA;NA;14;5;2016;Hornillos de Eresma;Va;G. Aguado;NA;NA
OA117;NA;Chrysis;NA;elegans;NA;NA;12;7;2016;Vilalba de los Alcores;Va;G. Aguado;NA;NA
OA118;NA;Scolia;NA;hortorum;NA;Macho;15;7;2016;Olmedo;Va;G. Aguado;L.O. A.M;NA
OA119;NA;Dasyscolia;NA;ciliata;NA;Macho;14;5;2016;Olmedo;Va;G. Aguado;L.O. A.M;NA
OA120;NA;Colpa;NA;sexmaculata;NA;Macho;13;9;2016;Vilalba de los Alcores;Va;G. Aguado;L.O. A.M;NA
OA121;NA;Colpa;NA;sexmaculata;NA;Hembra;15;7;2016;Hornillos de Eresma;Va;G. Aguado;L.O. A.M;Retama sphaerocarpa
OA122;NA;Colpa;NA;quinquecincta;NA;Macho;12;7;2016;Vilalba de los Alcores;Va;G. Aguado;L.O. A.M;NA
OA123;NA;Colpa;NA;quinquecincta;NA;Hembra;10;6;2016;Hornillos de Eresma;Va;G. Aguado;L.O. A.M;NA
OA124;NA;Colpa;NA;quinquecincta;NA;Hembra;15;7;2016;Hornillos de Eresma;Va;G. Aguado;L.O. A.M;NA
OA125;NA;NA;NA;NA;NA;NA;13;9;2016;Vilalba de los Alcores;NA;G. Aguado;NA;NA
OA126;NA;Megascolia;Regiscolia;maculata;flavifrons;Macho;13;5;2016;Vilalba de los Alcores;Va;G. Aguado;L.O. A.M;NA
OA127;NA;Megascolia;Regiscolia;maculata;flavifrons;Hembra;10;6;2016;Olmedo;Va;G. Aguado;L.O. A.M;NA
OA128;NA;Megascolia;Regiscolia;maculata;flavifrons;Hembra;15;7;2016;Hornillos de Eresma;Va;G. Aguado;L.O. A.M;Silybum marianum
OA129;Mutillidae;NA;NA;NA;NA;NA;20;8;2016;San Bernardo;Va;G. Aguado;NA;NA
OA130;NA;Hylaeus;Prosopis;variegatus;NA;Macho;13;9;2016;San Bernardo;Va;G. Aguado;L.O. A.M;Eryngium campestre
OA131;NA;Hylaeus;Prosopis;variegatus;NA;Macho;13;9;2016;San Bernardo;Va;G. Aguado;L.O. A.M;Senecio vulgaris
OA132;NA;Hylaeus;Prosopis;variegatus;NA;Macho;22;8;2016;Auditorio delibes jardines ;Va;G. Aguado;L.O. A.M;Eryngium campestre
OA133;NA;Hylaeus;Prosopis;variegatus;NA;Macho;22;8;2016;Auditorio delibes jardines ;Va;G. Aguado;L.O. A.M;Eryngium campestre
OA134;NA;Hylaeus;Prosopis;variegatus;NA;Macho;22;8;2016;Vilalba de los Alcores;Va;G. Aguado;L.O. A.M;Senecio vulgaris
OA135;NA;Hylaeus;Prosopis;variegatus;NA;Macho;12;4;2016;San Bernardo;Va;G. Aguado;L.O. A.M;Crataegus monogyna
OA136;NA;Hylaeus;Prosopis;variegatus;NA;Macho;12;4;2016;Vilalba de los Alcores;Va;G. Aguado;L.O. A.M;Echium vulgare
OA137;NA;Hylaeus;Prosopis;variegatus;NA;Macho;22;8;2016;Auditorio delibes jardines ;Va;G. Aguado;L.O. A.M;Senecio vulgaris
OA138;NA;Hylaeus;Prosopis;variegatus;NA;Macho;22;8;2016;Auditorio delibes jardines ;Va;G. Aguado;L.O. A.M;Eryngium campestre
OA139;NA;Hylaeus;Prosopis;variegatus;NA;Macho;22;8;2016;Auditorio delibes jardines ;Va;G. Aguado;L.O. A.M;Eryngium campestre
OA140;NA;Hylaeus;Prosopis;variegatus;NA;Macho;20;8;2016;San Bernardo;Va;G. Aguado;L.O. A.M;Echium vulgare
OA141;NA;Hylaeus;Prosopis;variegatus;NA;NA;13;5;2016;Auditorio delibes jardines ;Va;G. Aguado;NA;Eryngium campestre
OA142;NA;Hylaeus;Prosopis;variegatus;NA;Hembra;22;8;2016;Auditorio delibes jardines ;Va;G. Aguado;L.O. A.M;Senecio vulgaris
OA143;NA;Hylaeus;Prosopis;variegatus;NA;Macho;22;8;2016;Auditorio delibes jardines ;Va;G. Aguado;L.O. A.M;Senecio vulgaris
OA144;NA;Hylaeus;Prosopis;variegatus;NA;Hembra;22;8;2016;Auditorio delibes jardines ;Va;G. Aguado;L.O. A.M;Senecio vulgaris
OA145;NA;Hylaeus;Prosopis;variegatus;NA;Hembra;22;8;2016;Zamaduenas;Va;G. Aguado;L.O. A.M;Senecio vulgaris
OA146;NA;Hylaeus;Prosopis;variegatus;NA;Hembra;22;8;2016;Auditorio delibes jardines ;Va;G. Aguado;L.O. A.M;Senecio vulgaris
OA147;NA;Hylaeus;Prosopis;variegatus;NA;Hembra;22;8;2016;Auditorio delibes jardines ;va;G. Aguado;L.O. A.M;Senecio vulgaris
OA148;NA;Hylaeus;Prosopis;variegatus;NA;Hembra;22;8;2016;Auditorio delibes jardines ;Va;G. Aguado;l.O. A.M;Senecio vulgaris
OA149;NA;Hylaeus;Prosopis;variegatus;NA;Hembra;22;8;2016;Auditorio delibes jardines ;Va;G. Aguado;l.O. A.M;Senecio vulgaris
OA150;NA;Hylaeus;Prosopis;variegatus;NA;Hembra;22;8;2016;Auditorio delibes jardines ;Va;G. Aguado;l.O. A.M;Senecio vulgaris
OA151;NA;Hylaeus;Prosopis;Variegatus;NA;Hembra;20;8;2016;San Bernardo;Va;G. Aguado;l.O. A.M;Rubus sp
OA152;NA;Hylaeus;Prosopis;Variegatus;NA;Hembra;20;8;2016;San Bernardo;Va;G. Aguado;l.O. A.M;Senecio vulgaris
OA153;NA;Hylaeus;Prosopis;Variegatus;NA;Hembra;22;8;2016;Auditorio delibes jardines ;Va;G. Aguado;l.O. A.M;Senecio vulgaris
OA154;NA;Hylaeus;Prosopis;Variegatus;NA;Hembra;22;8;2016;Zamaduenas;Va;G. Aguado;l.O. A.M;Senecio vulgaris
OA155;NA;Hylaeus;Prosopis;Variegatus;NA;Hembra;28;8;2016;San Bernardo;Va;G. Aguado;l.O. A.M;Senecio vulgaris
OA156;NA;Hylaeus;Prosopis;Variegatus;NA;Hembra;22;8;2016;Auditorio delibes jardines ;Va;G. Aguado;l.O. A.M;Eryngium campestre
OA157;NA;Hylaeus;Prosopis;Variegatus;NA;Hembra;12;7;2016;Vilalba de los Alcores;Va;G. Aguado;l.O. A.M;Achillea millefolium
OA158;NA;Hylaeus;Prosopis;Variegatus;NA;Hembra;22;8;2016;Auditorio delibes jardines ;Va;G. Aguado;l.O. A.M;Eryngium campestre
OA159;NA;Hylaeus;Prosopis;Variegatus;NA;Hembra;22;8;2016;Auditorio delibes jardines ;Va;G. Aguado;l.O. A.M;Eryngium campestre
OA160;NA;Hylaeus;Prosopis;Variegatus;NA;Hembra;22;8;2016;Auditorio delibes jardines ;Va;G. Aguado;l.O. A.M;Eryngium campestre
OA161;NA;Hylaeus;Prosopis;Variegatus;NA;Hembra;22;8;2016;Auditorio delibes jardines ;Va;G. Aguado;l.O. A.M;Eryngium campestre
OA162;NA;Hylaeus;Prosopis;Variegatus;NA;Hembra;20;8;2016;San Bernardo;Va;G. Aguado;l.O. A.M;Achillea millefolium
OA163;NA;Hylaeus;Prosopis;Variegatus;NA;Hembra;20;8;2016;San Bernardo;Va;G. Aguado;l.O. A.M;Achillea millefolium
OA164;NA;Hylaeus;Prosopis;Variegatus;NA;Hembra;22;8;2016;Auditorio delibes jardines ;Va;G. Aguado;l.O. A.M;Eryngium campestre
OA165;NA;Hylaeus;Prosopis;Variegatus;NA;Hembra;22;8;2016;Auditorio delibes jardines ;Va;G. Aguado;l.O. A.M;Senecio vulgaris
OA166;NA;Hylaeus;Prosopis;Variegatus;NA;Hembra;22;8;2016;Zamaduenas;Va;G. Aguado;l.O. A.M;Senecio vulgaris
OA167;NA;Hylaeus;Prosopis;Variegatus;NA;Hembra;22;8;2016;Auditorio delibes jardines ;Va;G. Aguado;l.O. A.M;Senecio vulgaris
OA168;NA;Hylaeus;Prosopis;Variegatus;NA;Hembra;22;8;2016;Auditorio delibes jardines ;Va;G. Aguado;l.O. A.M;Senecio vulgaris
OA169;NA;Hylaeus;Prosopis;Variegatus;NA;Hembra;22;8;2016;Auditorio delibes jardines ;Va;G. Aguado;l.O. A.M;Senecio vulgaris
OA170;NA;Hylaeus;Prosopis;Variegatus;NA;Hembra;22;8;2016;Auditorio delibes jardines ;Va;G. Aguado;l.O. A.M;Senecio vulgaris
OA171;NA;Hylaeus;Prosopis;Variegatus;NA;Hembra;22;8;2016;Auditorio delibes jardines ;Va;G. Aguado;l.O. A.M;Senecio vulgaris
OA172;NA;Hylaeus;Prosopis;Variegatus;NA;Hembra;22;8;2016;Auditorio delibes jardines ;Va;G. Aguado;l.O. A.M;Eryngium campestre
OA173;NA;Hylaeus;Prosopis;Variegatus;NA;Hembra;22;8;2016;Auditorio delibes jardines ;Va;G. Aguado;l.O. A.M;Eryngium campestre
OA174;NA;Hylaeus;Prosopis;Variegatus;NA;Hembra;20;8;2016;San Bernardo;Va;G. Aguado;l.O. A.M;Senecio vulgaris
OA175;NA;Hylaeus;Prosopis;Variegatus;NA;Hembra;13;9;2016;Auditorio delibes jardines ;Va;G. Aguado;l.O. A.M;Eryngium campestre
OA176;NA;Hylaeus;Prosopis;Variegatus;NA;Hembra;13;9;2016;Toro;Za;G. Aguado;l.O. A.M;Eryngium campestre
OA177;NA;Hylaeus;Prosopis;Variegatus;NA;Hembra;20;8;2016;San Bernardo;Va;G. Aguado;l.O. A.M;Achillea millefolium
OA178;NA;Hylaeus;Prosopis;Variegatus;NA;Hembra;11;6;2016;San Bernardo;Va;G. Aguado;l.O. A.M;Echium vulgare
OA179;NA;Hylaeus;Prosopis;Variegatus;NA;Hembra;12;4;2016;Zamaduenas;Va;G. Aguado;l.O. A.M;Echium vulgare
OA180;NA;Hylaeus;Dentigera;Brevicornis;NA;Macho;22;8;2016;Zamaduenas;Va;G. Aguado;l.O. A.M;Rubus sp
OA181;NA;Hylaeus;Dentigera;Brevicornis;NA;Macho;14;5;2016;Toro;Za;G. Aguado;l.O. A.M;Rubus sp
OA182;NA;Hylaeus;Dentigera;Brevicornis;NA;Macho;22;8;2016;Zamaduenas;Va;G. Aguado;l.O. A.M;Rubus sp
OA183;NA;Hylaeus;Dentigera;Brevicornis;NA;Macho;22;8;2016;Zamaduenas;Va;G. Aguado;l.O. A.M;Rubus sp
OA184;NA;Hylaeus;Dentigera;Brevicornis;NA;Macho;20;8;2016;San Bernardo;Va;G. Aguado;l.O. A.M;Rubus sp
OA185;NA;Hylaeus;Dentigera;Brevicornis;NA;Macho;11;6;2016;Vilalba de los Alcores;Va;G. Aguado;l.O. A.M;Echium vulgare
