",""id"",""genus"",""species"",""num_individuals"",""sex"",""m_IT"",""day"",""month"",""year"",""collector"",""taxonomist"",""Lat2"",""Long2"""
"497,929,""Andrena"",""lepida"",3,""female"",NA,NA,5,1979,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"498,1127,""Andrena"",""ovatula"",1,""male"",1.75,11,5,1979,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"499,5009,""Ceratina"",""chalybea"",1,""female"",1.4,12,5,1979,""E. Asensio"",""Tkalcu"",41.698036,-4.708621"
"500,779,""Andrena"",""flavipes"",1,""male"",NA,24,5,1976,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"501,598,""Andrena"",""carbonaria"",1,""male"",NA,23,5,1982,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"502,787,""Andrena"",""flavipes"",2,""female"",NA,NA,5,1979,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"503,1210,""Andrena"",""spreta"",3,""female"",NA,8,4,1982,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"504,2112,""Anthophora"",""sp b"",1,""female"",NA,30,4,1979,""E. Asensio"",""Tkalcu"",41.698036,-4.708621"
"505,5280,""Sphecodes"",""spinulosus"",1,""female"",2.6,1,6,1971,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"506,1582,""Nomada"",""agrestis"",5,""male"",NA,8,4,1982,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"507,2487,""Halictus"",""subauratus"",1,""female"",1.4,22,5,1976,""E. Asensio"",""Asensio"",41.698036,-4.708621"
"508,2794,""Lasioglossum"",""minutissimum"",1,""female"",1,29,5,1978,""E. Asensio"",""Ebmer"",41.698036,-4.708621"
"509,701,""Andrena"",""ferrugineicrus"",1,""male"",NA,4,5,1984,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"510,791,""Andrena"",""flavipes"",1,""female"",NA,NA,5,1979,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"511,2116,""Anthophora"",""sp b"",1,""female"",NA,2,3,1982,""E. Asensio"",""Tkalcu"",41.698036,-4.708621"
"512,945,""Andrena"",""longibarbis"",1,""male"",0.6,30,4,1979,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"513,NA,""Anthophora"",""retusa"",1,""female"",5,6,5,1976,""E. Asensio"",NA,41.698036,-4.708621"
"514,1268,""Andrena"",""thoracica"",1,""male"",NA,30,6,1978,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"515,2074,""Anthophora"",""retusa"",1,""female"",4.8,29,4,1976,""E. Asensio"",NA,41.698036,-4.708621"
"516,2088,""Anthophora"",""senescens"",2,""male"",1,15,3,1977,""E. Asensio"",""Lieftinck"",41.698036,-4.708621"
"517,1542,""Eucera"",""trivittata"",1,""female"",NA,22,5,1976,""E. Asensio"",""Asensio"",41.698036,-4.708621"
"518,2948,""Lasioglossum"",""subaenescens"",1,""female"",1.2,8,4,1982,""E. Asensio"",""Ebmer"",41.698036,-4.708621"
"519,666,""Andrena"",""exigua"",1,""female"",NA,3,5,1979,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"520,2800,""Lasioglossum"",""minutissimum"",3,""female"",NA,4,7,1984,""E. Asensio"",""Ebmer"",41.698036,-4.708621"
"521,475,""Andrena"",""albopunctata"",1,""male"",NA,29,5,1979,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"522,4986,""Ceratina"",""chalcites"",2,""female"",NA,NA,NA,1983,""E. Asensio"",""Asensio"",41.698036,-4.708621"
"523,617,""Andrena"",""cinerea"",2,""female"",NA,23,6,1978,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"524,1324,""Andrena"",""verticalis"",1,""male"",NA,5,5,1983,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"525,3132,""Lasioglossum"",""sexnotatum"",1,""female"",3,28,5,1979,""E. Asensio"",""Ebmer"",41.698036,-4.708621"
"526,2943,""Lasioglossum"",""sphecodimorphum"",1,""female"",1.1,2,7,1985,""E. Asensio"",""Ebmer"",41.698036,-4.708621"
"527,793,""Andrena"",""flavipes"",1,""male"",2.7,5,7,1979,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"528,799,""Andrena"",""flavipes"",1,""female"",NA,29,5,1981,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"529,3156,""Lasioglossum"",""xanthopum"",1,""female"",2.8,16,6,1983,""E. Asensio"",""Ebmer"",41.698036,-4.708621"
