LABEL;coord x;coord y;HABITAT/FIELD PLOT CODE;IDENTIFIER NAME;DATE;SPECIES NAME;ABUNDANCE;;;;;;
;;;Ed02lc_Bd2_074;F. Javier Ortiz Sánchez;2010-06-01;Anthophora balneorum;1;;;;;;
;;;Ed02lc_Bd3_075;F. Javier Ortiz Sánchez;2010-06-18;Andrena sp.;1;;;;;;
;;;Ed02lc_Bd3_075;F. Javier Ortiz Sánchez;2010-06-18;Panurgus perezi;1;;;;;;
Ed_02LD;237108,01;4447950,4;Ed02ld_Bd1_076;G. González Bornay;2010-05-20;Apis mellifera;3;;;;;;
;;;Ed02ld_Bd2_077;F. Javier Ortiz Sánchez;2010-06-01;Andrena sp.;1;;;;;;
;;;Ed02ld_Bd2_077;G. González Bornay;2010-06-01;Apis mellifera;1;;;;;;
;;;Ed02ld_Bd2_077;F. Javier Ortiz Sánchez;2010-06-01;Panurgus calcaratus;1;;;;;;
;;;Ed02ld_Bd3_078;G. González Bornay;2010-06-01;Apis mellifera;1;;;;;;
;;;Ed02ld_Bd3_078;F. Javier Ortiz Sánchez;2010-06-18;Hoplitis sp. ;1;;;;;;
;;;Ed02ld_Bd3_078;F. Javier Ortiz Sánchez;2010-06-18;Lasioglossum (lasiog.) sp.;2;;;;;;
Ed_02LF;236058,19;4446725,9;Ed02lf_Bd1_079;F. Javier Ortiz Sánchez;2010-05-20;Lasioglossum malachurum;1;;;;;;
;;;Ed02lf_Bd1_079;G. González Bornay;2010-05-20;Apis mellifera;6;;;;;;
;;;Ed02lf_Bd2_080;;2010-06-01;;0;;;;;;
;;;Ed02lf_Bd3_081;;2010-06-18;;0;;;;;;
Ed_03a;242992;4452490;Ed03a_Bd1_082;;2010-05-20;;0;;;;;;
;;;Ed03a_Bd2_083;F. Javier Ortiz Sánchez;2010-06-01;Andrena sp.;1;;;;;;
;;;Ed03a_Bd2_083;G. González Bornay;2010-06-01;Apis mellifera;3;;;;;;
;;;Ed03a_Bd3_084;;2010-06-18;;0;;;;;;
Ed_03e;242665;4453020;Ed03e_Bd1_085;G. González Bornay;2010-05-20;Apis mellifera;6;;;;;;
;;;Ed03e_Bd2_086;G. González Bornay;2010-06-01;Apis mellifera;4;;;;;;
;;;Ed03e_Bd2_086;F. Javier Ortiz Sánchez;2010-06-18;Andrena sp.;1;;;;;;
;;;Ed03e_Bd3_087;G. González Bornay;2010-06-18;Apis mellifera;8;;;;;;
;;;Ed03e_Bd3_087;F. Javier Ortiz Sánchez;2010-06-18;Halictus (hal.) sp.;1;;;;;;
;;;Ed03e_Bd3_087;F. Javier Ortiz Sánchez;2010-06-18;Panurgus perezi;1;;;;;;
Ed_03f;243726;4453420;Ed03f_Bd1_088;;2010-05-20;;0;;;;;;
;;;Ed03f_Bd2_089;;2010-06-01;;0;;;;;;
;;;Ed03f_Bd3_090;F. Javier Ortiz Sánchez;2010-06-18;Lasioglossum malachurum;1;;;;;;
;;;Ed03f_Bd3_090;F. Javier Ortiz Sánchez;2010-06-18;Panurgus calcaratus;2;;;;;;
;;;Ed03f_Bd3_090;F. Javier Ortiz Sánchez;2010-06-18;Panurgus perezi;2;;;;;;
Ed_03g;243111;4452650;Ed03g_Bd1_091;;2010-05-20;;0;;;;;;
;;;Ed03g_Bd2_092;G. González Bornay;2010-06-01;Apis mellifera;2;;;;;;
;;;Ed03g_Bd2_092;F. Javier Ortiz Sánchez;2010-06-01;Eeucera clypeata;1;;;;;;
;;;Ed03g_Bd3_093;;2010-06-18;;0;;;;;;
Ed_03h;243415;4452440;Ed03h_Bd1_094;G. González Bornay;2010-05-20;Apis mellifera;5;;;;;;
;;;Ed03h_Bd2_095;F. Javier Ortiz Sánchez;2010-06-01;Andrena sp.;1;;;;;;
;;;Ed03h_Bd2_095;G. González Bornay;2010-06-01;Apis mellifera;6;;;;;;
;;;Ed03h_Bd3_096;F. Javier Ortiz Sánchez;2010-06-18;Lasioglossum malachurum;2;;;;;;
;;;Ed03h_Bd3_096;F. Javier Ortiz Sánchez;2010-06-18;Panurgus calcaratus;4;;;;;;
;;;Ed03h_Bd3_096;F. Javier Ortiz Sánchez;2010-06-18;Panurgus perezi;3;;;;;;
Ed_03i;243164;4452660;Ed03i_Bd1_097;G. González Bornay;2010-05-20;Apis mellifera;3;;;;;;
;;;Ed03i_Bd1_097;F. Javier Ortiz Sánchez;2010-06-01;Ceratina cucurbitina;1;;;;;;
;;;Ed03i_Bd2_098;;2010-06-01;;0;;;;;;
;;;Ed03i_Bd3_099;;2010-06-18;;0;;;;;;
Ed_03j;242745;4453100;Ed03j_Bd1_100;G. González Bornay;2010-05-20;Apis mellifera;8;;;;;;
;;;Ed03j_Bd1_100;F. Javier Ortiz Sánchez;2010-05-20;Lasioglossum malachurum;1;;;;;;
;;;Ed03j_Bd2_101;G. González Bornay;2010-06-01;Apis mellifera;1;;;;;;
;;;Ed03j_Bd3_102;G. González Bornay;2010-06-18;Apis mellifera;3;;;;;;
;;;Ed03j_Bd3_102;F. Javier Ortiz Sánchez;2010-06-18;Lasioglossum malachurum;1;;;;;;
Ed_03k;243655;4453380;Ed03k_Bd1_103;G. González Bornay;2010-05-20;Apis mellifera;1;;;;;;
;;;Ed03k_Bd1_103;F. Javier Ortiz Sánchez;2010-05-20;Osmia coerulescens;1;;;;;;
;;;Ed03k_Bd2_104;F. Javier Ortiz Sánchez;2010-06-01;Anthophora balneorum;1;;;;;;
;;;Ed03k_Bd3_105;F. Javier Ortiz Sánchez;2010-06-18;Lasioglossum malachurum;1;;;;;;
;;;Ed03k_Bd3_105;F. Javier Ortiz Sánchez;2010-06-18;Panurgus calcaratus;3;;;;;;
;;;Ed03k_Bd3_105;F. Javier Ortiz Sánchez;2010-06-18;Panurgus cephalotes;1;;;;;;
;;;Ed03k_Bd3_105;F. Javier Ortiz Sánchez;2010-06-18;Panurgus perezi;2;;;;;;
Ed_03LC;243332;4452310;Ed03lc_Bd1_106;;;;;;;;;;
;;;Ed03lc_Bd2_107;G. González Bornay;2010-06-01;Apis mellifera;2;;;;;;
;;;Ed03lc_Bd3_108;F. Javier Ortiz Sánchez;2010-06-18;Andrena sp.;2;;;;;;
;;;Ed03lc_Bd3_108;F. Javier Ortiz Sánchez;2010-06-18;Andrena thoracica;1;;;;;;
;;;Ed03lc_Bd3_108;G. González Bornay;2010-06-18;Apis mellifera;3;;;;;;
;;;Ed03lc_Bd3_108;F. Javier Ortiz Sánchez;2010-06-18;Panurgus calcaratus;1;;;;;;
Ed_03LD;243129;4452730;Ed03ld_Bd1_109;G. González Bornay;2010-05-20;Apis mellifera;3;;;;;;
;;;Ed03ld_Bd2_110;G. González Bornay;2010-06-01;Apis mellifera;1;;;;;;
;;;Ed03ld_Bd3_111;F. Javier Ortiz Sánchez;2010-06-18;Andrena sp.;1;;;;;;
;;;Ed03ld_Bd3_111;G. González Bornay;2010-06-18;Apis mellifera;1;;;;;;
;;;Ed03ld_Bd3_111;F. Javier Ortiz Sánchez;2010-06-18;Lasioglossum (Lasiog.) leucozonium;1;;;;;;
;;;Ed03ld_Bd3_111;F. Javier Ortiz Sánchez;2010-06-18;Lasioglossum malachurum;1;;;;;;
;;;Ed03ld_Bd3_111;F. Javier Ortiz Sánchez;2010-06-18;Sphecodes  monilicornis;1;;;;;;
Ed_03le;242646;4453060;Ed03le_Bd1_112;F. Javier Ortiz Sánchez;2010-05-20;Ammobates muticus;2;;;;;;
;;;Ed03le_Bd2_113;F. Javier Ortiz Sánchez;2010-06-01;Andrena (micr.) sp.;1;;;;;;
;;;Ed03le_Bd2_113;F. Javier Ortiz Sánchez;2010-06-01;Lasioglossum (evy.) sp.;1;;;;;;
;;;Ed03le_Bd3_114;;2010-06-18;;0;;;;;;
Ed_03n;243143;4452590;Ed03n_Bd1_115;F. Javier Ortiz Sánchez;2010-05-20;Panurgus perezi;1;;;;;;
;;;Ed03n_Bd2_116;;2010-06-01;;0;;;;;;
;;;Ed03n_Bd3_117;G. González Bornay;2010-06-18;Apis mellifera;1;;;;;;
;;;Ed03n_Bd3_117;F. Javier Ortiz Sánchez;2010-06-18;Lasioglossum (evy.) sp.;2;;;;;;
;;;Ed03n_Bd3_117;F. Javier Ortiz Sánchez;2010-06-18;Lasioglossum (lasiog.) sp.;2;;;;;;
;;;Ed03n_Bd3_117;F. Javier Ortiz Sánchez;2010-06-18;Lasioglossum (Lasiog.) leucozonium;1;;;;;;
;;;Ed03n_Bd3_117;F. Javier Ortiz Sánchez;2010-06-18;Lasioglossum malachurum;1;;;;;;
;;;Ed03n_Bd3_117;F. Javier Ortiz Sánchez;2010-06-18;Panurgus calcaratus;2;;;;;;
;;;Ed03n_Bd3_117;F. Javier Ortiz Sánchez;2010-06-18;Panurgus cephalotes;1;;;;;;
;;;Ed03n_Bd3_117;F. Javier Ortiz Sánchez;2010-06-18;Panurgus perezi;3;;;;;;
Ed_03o;243181;4452500;Ed03o_Bd1_118;;2010-05-20;;0;;;;;;
;;;Ed03o_Bd2_119;;2010-06-01;;0;;;;;;
;;;Ed03o_Bd3_120;;2010-06-18;;0;;;;;;
Ed_04d;219957,813412;4454859,05311;Ed04d_Bd1_121;;2010-05-18;;0;;;;;;
;;;Ed04d_Bd2_122;;2010-06-02;;0;;;;;;
;;;Ed04d_Bd3_123;F. Javier Ortiz Sánchez;2010-06-16;Lasioglossum (Lasiog.) bimaculatum;1;;;;;;
Ed_04e;219656,869277;4454716,23847;Ed04e_Bd1_124;;2010-05-18;;0;;;;;;
;;;Ed04e_Bd2_125;;2010-06-02;;0;;;;;;
;;;Ed04e_Bd3_126;F. Javier Ortiz Sánchez;2010-06-16;Andrena sp.;1;;;;;;
;;;Ed04e_Bd3_126;F. Javier Ortiz Sánchez;2010-06-16;Panurgus calcaratus;1;;;;;;
;;;Ed04e_Bd3_126;F. Javier Ortiz Sánchez;2010-06-16;Panurgus perezi;1;;;;;;
Ed_04f;218418,15671;4456009,53345;Ed04f_Bd1_127;G. González Bornay;2010-05-18;Apis mellifera;1;;;;;;
;;;Ed04f_Bd2_128;G. González Bornay;2010-06-02;Apis mellifera;2;;;;;;
;;;Ed04f_Bd2_128;F. Javier Ortiz Sánchez;2010-06-02;Panurgus calcaratus;1;;;;;;
;;;Ed04f_Bd2_128;F. Javier Ortiz Sánchez;2010-06-02;Panurgus perezi;4;;;;;;
;;;Ed04f_Bd3_129;F. Javier Ortiz Sánchez;2010-06-16;Panurgus calcaratus;4;;;;;;
;;;Ed04f_Bd3_129;F. Javier Ortiz Sánchez;2010-06-16;Panurgus cephalotes;1;;;;;;
;;;Ed04f_Bd3_129;F. Javier Ortiz Sánchez;2010-06-16;Panurgus perezi;2;;;;;;
Ed_04g;219071,493812;4456197,0884;Ed04g_Bd1_130;;2010-05-18;;0;;;;;;
;;;Ed04g_Bd2_131;G. González Bornay;2010-06-02;Apis mellifera;5;;;;;;
;;;Ed04g_Bd2_131;F. Javier Ortiz Sánchez;2010-06-02;Panurgus cephalotes;1;;;;;;
;;;Ed04g_Bd3_132;;2010-06-16;;0;;;;;;
Ed_04h;218877,728436;4456207,02509;Ed04h_Bd1_133;G. González Bornay;2010-05-18;Apis mellifera;1;;;;;;
;;;Ed04h_Bd2_134;F. Javier Ortiz Sánchez;2010-06-02;Afranthidium  schulthesii;1;;;;;;
;;;Ed04h_Bd2_134;F. Javier Ortiz Sánchez;2010-06-02;Andrena sp.;1;;;;;;
;;;Ed04h_Bd2_134;G. González Bornay;2010-06-02;Apis mellifera;1;;;;;;
;;;Ed04h_Bd2_134;F. Javier Ortiz Sánchez;2010-06-02;Lasioglossum costulatum;1;;;;;;
;;;Ed04h_Bd2_134;F. Javier Ortiz Sánchez;2010-06-02;Panurgus cephalotes;2;;;;;;
;;;Ed04h_Bd2_134;F. Javier Ortiz Sánchez;2010-06-02;Panurgus perezi;2;;;;;;
;;;Ed04h_Bd3_135;F. Javier Ortiz Sánchez;2010-06-16;Panurgus calcaratus;3;;;;;;
;;;Ed04h_Bd3_135;F. Javier Ortiz Sánchez;2010-06-16;Panurgus cephalotes;3;;;;;;
Ed_04i;220576,283843;4454900,81115;Ed04i_Bd1_136;G. González Bornay;2010-05-18;Apis mellifera;3;;;;;;
;;;Ed04i_Bd2_137;G. González Bornay;2010-06-02;Apis mellifera;4;;;;;;
;;;Ed04i_Bd2_137;F. Javier Ortiz Sánchez;2010-06-02;Halictus (Hal.) crenicornis;1;;;;;;
;;;Ed04i_Bd2_137;F. Javier Ortiz Sánchez;2010-06-02;Panurgus calcaratus;2;;;;;;
;;;Ed04i_Bd2_137;F. Javier Ortiz Sánchez;2010-06-02;Panurgus perezi;5;;;;;;
;;;Ed04i_Bd3_138;;2010-06-16;;0;;;;;;
Ed_04j;218318,789851;4456085,30068;Ed04j_Bd1_139;G. González Bornay;2010-05-18;Apis mellifera;1;;;;;;
;;;Ed04j_Bd2_140;F. Javier Ortiz Sánchez;2010-06-02;Lasioglossum (Lasiog.) leucozonium;1;;;;;;
;;;Ed04j_Bd2_141;F. Javier Ortiz Sánchez;2010-06-02;Panurgus cephalotes;1;;;;;;
