nNoCatalogo;bTipo;nNoCatTipos;tCategoTipo;nEjemplares;Superfamilia;Familia;Subfamilia;tGenero;tSubgenero;tEspecie;Infra;tAutor;tNotas;tNotasTaxonomicas;LocalidadOrig;tLocalidad;tMunicipio;Provincia;Comunidad;Pais;tFechaCaptura;nDia;nMes;nAnio;nDia2;nMes2;nAnio2;tColector;tNotasCaptura;tAltitud;tUTM;tSexo;tProcedencia;tAutorDeterminacion;nAnioDeterminacion;tEtiquetaEn;NotasFechas
313782;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;abeillei;;Pérez, 1903;;Etiquetas: Colletes abeillei Pér. hembra det. Noskiewicz// Colletes abeillei Pérez, 1903 hembra det. P. Álvarez 2021.;Escorial;San Lorenzo de El Escorial;;Madrid;Madrid;España;30-6-23;30;6;1923;;;;Dusmet;;;;hembra;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
313783;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;abeillei;;Pérez, 1903;;Etiquetas: Colletes abeillei Pér. hembra det. Noskiewicz// Colletes abeillei Pérez, 1903 hembra det. P. Álvarez 2021.;Escorial;San Lorenzo de El Escorial;;Madrid;Madrid;España;30-6-23;30;6;1923;;;;Dusmet;;;;hembra;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
313784;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;abeillei;;Pérez, 1903;;Etiquetas: Colletes abeillei Pér. hembra det. Noskiewicz// Colletes abeillei Pérez, 1903 hembra det. P. Álvarez 2021.;Escorial;San Lorenzo de El Escorial;;Madrid;Madrid;España;30-6-23;30;6;1923;;;;Dusmet;;;;hembra;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
313785;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;abeillei;;Pérez, 1903;;Etiquetas: Colletes abeillei Pér. hembra det. Noskiewicz// Colletes abeillei Pérez, 1903 hembra det. P. Álvarez 2021.;Escorial;San Lorenzo de El Escorial;;Madrid;Madrid;España;30-6-23;30;6;1923;;;;Dusmet;;;;hembra;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
313786;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;abeillei;;Pérez, 1903;;Etiquetas: Colletes abeillei Pér. hembra det. Noskiewicz// Colletes abeillei Pérez, 1903 hembra det. P. Álvarez 2021.;Escorial;San Lorenzo de El Escorial;;Madrid;Madrid;España;30-6-23;30;6;1923;;;;Dusmet;;;;hembra;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
313787;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;abeillei;;Pérez, 1903;;Etiquetas: Colletes abeillei Pér. hembra det. Noskiewicz// Colletes abeillei Pérez, 1903 hembra det. P. Álvarez 2021.;Escorial;San Lorenzo de El Escorial;;Madrid;Madrid;España;30-6-23;30;6;1923;;;;Dusmet;;;;hembra;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
313788;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;abeillei;;Pérez, 1903;;Etiquetas: Colletes abeillei Pér. hembra det. Noskiewicz// Colletes abeillei Pérez, 1903 hembra det. P. Álvarez 2021.;Escorial;San Lorenzo de El Escorial;;Madrid;Madrid;España;30-6-23;30;6;1923;;;;Dusmet;;;;hembra;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
313789;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;abeillei;;Pérez, 1903;;Etiquetas: Colletes abeillei Pér. hembra det. Noskiewicz// Colletes abeillei Pérez, 1903 hembra det. P. Álvarez 2021.;Escorial;San Lorenzo de El Escorial;;Madrid;Madrid;España;30-6-23;30;6;1923;;;;Dusmet;;;;hembra;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
313790;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;abeillei;;Pérez, 1903;;Etiquetas: Colletes abeillei Pér. hembra det. Noskiewicz// Colletes abeillei Pérez, 1903 hembra det. P. Álvarez 2021.;Escorial;San Lorenzo de El Escorial;;Madrid;Madrid;España;30-6-23;30;6;1923;;;;Dusmet;;;;hembra;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
313791;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;abeillei;;Pérez, 1903;;Etiquetas: Colletes abeillei Pér. hembra det. Noskiewicz// Colletes abeillei Pérez, 1903 hembra det. P. Álvarez 2021.;Escorial;San Lorenzo de El Escorial;;Madrid;Madrid;España;30-6-23;30;6;1923;;;;Dusmet;;;;hembra;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
