Genus,Subgenus,Species,Subspecies,name,Country,Province,Locality,Locality,Latitude,Longitude,Year,Month,Day,Date,Collector,Determiner,Sex
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Can Vola Vola,Palma,3.954.628,280.985,2018,5,14,14/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Can Vola Vola,Palma,3.954.628,280.985,2018,5,14,14/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Carrer Betlem,Cala Pi,393.941,284.722,2018,3,27,27/3/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Carrer Betlem,Cala Pi,393.941,284.722,2018,3,27,27/3/18,NA,M. A. González-Estévez,m
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Carrer Betlem,Cala Pi,393.941,284.722,2018,5,16,16/5/18,NA,M. A. González-Estévez,NA
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Carrer Betlem,Cala Pi,393.941,284.722,2018,5,16,16/5/18,NA,M. A. González-Estévez,NA
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Carrer Betlem,Cala Pi,393.941,284.722,2018,5,16,16/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Carrer Betlem,Cala Pi,393.941,284.722,2018,5,16,16/5/18,NA,M. A. González-Estévez,NA
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Carrer Betlem,Cala Pi,393.941,284.722,2018,5,16,16/5/18,NA,M. A. González-Estévez,NA
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Es Cabanells,Petra,3.968.937,323.535,2018,5,16,16/5/18,NA,M. A. González-Estévez,NA
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Es Cabanells,Petra,3.968.937,323.535,2018,5,16,16/5/18,NA,M. A. González-Estévez,NA
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Es Cabanells,Petra,3.968.937,323.535,2018,5,16,16/5/18,NA,M. A. González-Estévez,NA
