"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Thyreus",NA,"ramosus",NA,"PT","Évora","Évora",38.570907,-7.908722,1e-06,1953,7,3,184,184,"Nuno Freire de Andrade","Hugo Gaspar",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Thyreus ramosus, by Manuel Assunção Diniz","ZOO.0025808"
"Eucera",NA,"chrysopyga",NA,"PT","Castelo Branco","Fundão",40.136982,-7.50062,1e-06,NA,NA,NA,NA,NA,"unknown","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Eucera chrysopyga, by Manuel Assunção Diniz","ZOO.0024045"
"Andrena",NA,"agilissima",NA,"PT","Coimbra","Pinhal de Marrocos",40.190356,-8.421818,1e-06,1968,3,31,91,91,"Manuel Assunção Diniz","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Andrena agilissima, by Klaus Warncke","ZOO.0027235"
"Panurginus",NA,"albopilosus",NA,"PT","Lisboa","Estoril",38.712093,-9.396118,1e-06,1951,4,15,105,105,"Nuno Freire de Andrade","Hugo Gaspar",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Panurginus albopilosus, by Nuno Freire de Andrade","ZOO.0018555"
"Halictus",NA,"scabiosae",NA,"PT","Porto","Vieiros",41.319463,-7.996291,1e-06,1983,7,29,210,210,"Maciel Correia","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Halictus sp., by H Gaspar","ZOO.0031393"
"Halictus",NA,"gemmeus",NA,"PT","Faro","Cacela",37.156891,-7.546017,1e-06,1967,7,29,210,210,"Manuel Assunção Diniz","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Halictus sp., by Manuel Assunção Diniz","ZOO.0019612"
"Osmia",NA,"bicornis",NA,"PT","Porto","Vieiros",41.319463,-7.996291,1e-06,1983,6,6,157,157,"Maciel Correia","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"","ZOO.0032512"
"Lasioglossum",NA,"immunitum",NA,"PT","Lisboa","Carcavelos",38.689182,-9.337096,1e-06,1953,6,13,164,164,"Nuno Freire de Andrade","Hugo Gaspar",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Halictus sp., by Manuel Assunção Diniz","ZOO.0019334"
"Bombus",NA,"terrestris",NA,"PT","Coimbra","Arzila",40.180524,-8.550879,1e-06,1987,5,19,139,139,"Carla Frias","Hugo Gaspar",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Bombus sp., by H Gaspar","ZOO.0031895"
"Xylocopa",NA,"violacea",NA,"PT","Coimbra","Rio de Vide",40.127101,-8.315219,1e-06,1959,6,10,161,161,"Arnaldo Alves dos Santos","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Xylocopa violacea, by Manuel Assunção Diniz","ZOO.0026184"
"Nomada",NA,"sanguinea",NA,"PT","Coimbra","Pinhal de Marrocos",40.190356,-8.421818,1e-06,1968,5,7,128,128,"Manuel Assunção Diniz","Hugo Gaspar",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Nomada sanguinea, by Manuel Assunção Diniz","ZOO.0023706"
"Andrena",NA,"flavipes",NA,"PT","Coimbra","Ponte da Portela",40.185474,-8.395783,1e-06,1968,3,21,81,81,"Manuel Assunção Diniz","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Andrena flavipes, by Klaus Warncke","ZOO.0028256"
"Hoplitis",NA,"adunca",NA,"PT","Viseu","Quinta dos Frades",41.148698,-7.684064,1e-06,1969,7,15,196,196,"Manuel Assunção Diniz","Hugo Gaspar",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Hoplitis adunca, by Manuel Assunção Diniz","ZOO.0023391"
"Ceratina",NA,"cucurbitina",NA,"PT","Porto","Vieiros",41.319463,-7.996291,1e-06,1983,5,29,149,149,"Maciel Correia","Hugo Gaspar",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Ceratina sp., by H Gaspar","ZOO.0031842"
"Apis",NA,"mellifera",NA,"PT","Viseu","Vouzela",40.723033,-8.112083,1e-06,NA,NA,NA,NA,NA,"unknown","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Apis mellifera, by H Gaspar","ZOO.0030376"
"Halictus",NA,"scabiosae",NA,"PT","Faro","Monte Gordo",37.189931,-7.448399,1e-06,1967,7,24,205,205,"Manuel Assunção Diniz","Hugo Gaspar",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Halictus sp., by Manuel Assunção Diniz","ZOO.0019810"
"Eucera",NA,"nigrilabris",NA,"PT","Coimbra","Pinhal de Marrocos",40.190356,-8.421818,1e-06,1969,4,20,110,110,"Manuel Assunção Diniz","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Eucera sp., by Manuel Assunção Diniz","ZOO.0024241"
"Andrena",NA,"florentina",NA,"PT","Coimbra","Ponte da Portela",40.185474,-8.395783,1e-06,1968,3,21,81,81,"Manuel Assunção Diniz","Hugo Gaspar",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Andrena florentina, by Klaus Warncke","ZOO.0027406"
"Panurgus",NA,"perezi",NA,"PT","Viana do Castelo","São Pedro da Torre",41.993035,-8.666242,1e-06,1962,7,13,194,194,"Manuel Assunção Diniz","Hugo Gaspar",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Panurgus perezi, by Manuel Assunção Diniz","ZOO.0018114"
"Panurgus",NA,"perezi",NA,"PT","Aveiro","Albergaria-a-Velha",40.688357,-8.480147,1e-06,1968,7,27,209,209,"Manuel Assunção Diniz","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Panurgus perezi, by Manuel Assunção Diniz","ZOO.0018429"
"Panurgus",NA,"calcaratus",NA,"PT","Coimbra","Parque de Campismo",40.166237,-8.85775,1e-06,1967,6,25,176,176,"Manuel Assunção Diniz","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Panurgus calcaratus, by Manuel Assunção Diniz","ZOO.0018009"
"Andrena",NA,"agilissima",NA,"PT","Coimbra","Pinhal de Marrocos",40.190356,-8.421818,1e-06,1968,5,7,128,128,"Manuel Assunção Diniz","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Andrena agilissima, by Klaus Warncke","ZOO.0027212"
