"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Anthophora","Paramegilla","femorata",NA,"Spain","A Coruña","Paderne",43.293034,-8.17196,167,2024,8,6,NA,NA,"Guillermo Mora Collado, Saul Bernat Ponce","Ines Jimenez Fernandez",1,0,0,0,"https://doi.org/10.70186/baeeNRAG6998",NA,"UCME","Núñez Carbajal, A.; Álvarez Fidalgo, P.; Jiménez Fernández, I.; Fernández Álvarez, C.; Asenjo Guerra, Á.; Jiménez Rodríguez, Y.; López Dos Santos, N.; González-Ferreiro, M.; Cabezas Torrero, G & Yanguas-Fernandez, E. ","2023, pantraps; 2024, transects",""
"Anthophora","Pyganthophora","aestivalis",NA,"Spain","Ourense","Enciña da Lastra (Rubiá)",42.46636,-6.830709,717,2024,5,8,NA,NA,"Monica Doblas Bajo, Carlos Fernandez Alvarez","Guillermo Cabezas Torrero",0,1,0,0,"https://doi.org/10.70186/baeeNRAG6999",NA,"UCME","Núñez Carbajal, A.; Álvarez Fidalgo, P.; Jiménez Fernández, I.; Fernández Álvarez, C.; Asenjo Guerra, Á.; Jiménez Rodríguez, Y.; López Dos Santos, N.; González-Ferreiro, M.; Cabezas Torrero, G & Yanguas-Fernandez, E. ","2023, pantraps; 2024, transects",""
"Anthophora","Pyganthophora","retusa",NA,"Spain","A Coruña","Embalse de Abegondo-Cecebre",43.270219,-8.275169,47,2024,4,16,NA,NA,"Monica Doblas Bajo, Saul Bernat Ponce","Guillermo Cabezas Torrero",1,0,0,0,"https://doi.org/10.70186/baeeNRAG7000",NA,"UCME","Núñez Carbajal, A.; Álvarez Fidalgo, P.; Jiménez Fernández, I.; Fernández Álvarez, C.; Asenjo Guerra, Á.; Jiménez Rodríguez, Y.; López Dos Santos, N.; González-Ferreiro, M.; Cabezas Torrero, G & Yanguas-Fernandez, E. ","2023, pantraps; 2024, transects",""
"Bombus","Psithyrus","norvegicus",NA,"Spain","Lugo","Folgoso do Courel",42.614264,-7.095675,1280,2024,5,31,NA,NA,"Luis de Pedro Noriega, Monica Doblas Bajo","Guillermo Cabezas Torrero",0,1,0,0,"https://doi.org/10.70186/baeeNRAG6995",NA,"UCME","Núñez Carbajal, A.; Álvarez Fidalgo, P.; Jiménez Fernández, I.; Fernández Álvarez, C.; Asenjo Guerra, Á.; Jiménez Rodríguez, Y.; López Dos Santos, N.; González-Ferreiro, M.; Cabezas Torrero, G & Yanguas-Fernandez, E. ","2023, pantraps; 2024, transects",""
"Ceratina","Euceratina","chalybea",NA,"Spain","Lugo","Folgoso do Courel",42.614264,-7.095675,1280,2023,9,12,NA,NA,"Luis de Pedro Noriega, Monica Doblas Bajo","Mario Gonzalez Ferreiro",1,0,0,0,"https://doi.org/10.70186/baeeNRAG6995",NA,"UCME","Núñez Carbajal, A.; Álvarez Fidalgo, P.; Jiménez Fernández, I.; Fernández Álvarez, C.; Asenjo Guerra, Á.; Jiménez Rodríguez, Y.; López Dos Santos, N.; González-Ferreiro, M.; Cabezas Torrero, G & Yanguas-Fernandez, E. ","2023, pantraps; 2024, transects",""
"Ceratina","Euceratina","cyanea",NA,"Spain","A Coruña","Paderne",43.293034,-8.17196,167,2023,9,28,NA,NA,"Yamil Jimenez Rodríguez, Maria Jose Servia Garcia","Mario Gonzalez Ferreiro",0,1,0,0,"https://doi.org/10.70186/baeeNRAG6996",NA,"UCME","Núñez Carbajal, A.; Álvarez Fidalgo, P.; Jiménez Fernández, I.; Fernández Álvarez, C.; Asenjo Guerra, Á.; Jiménez Rodríguez, Y.; López Dos Santos, N.; González-Ferreiro, M.; Cabezas Torrero, G & Yanguas-Fernandez, E. ","2023, pantraps; 2024, transects",""
"Eucera","Eucera","longicornis",NA,"Spain","A Coruña","Paderne",43.293034,-8.17196,167,2023,6,20,NA,NA,"Yamil Jimenez Rodríguez, Maria Jose Servia Garcia","Alvaro Asenjo Guerra",1,0,0,0,"https://doi.org/10.70186/baeeNRAG6997",NA,"UCME","Núñez Carbajal, A.; Álvarez Fidalgo, P.; Jiménez Fernández, I.; Fernández Álvarez, C.; Asenjo Guerra, Á.; Jiménez Rodríguez, Y.; López Dos Santos, N.; González-Ferreiro, M.; Cabezas Torrero, G & Yanguas-Fernandez, E. ","2023, pantraps; 2024, transects",""
"Eucera","Eucera","nigrescens",NA,"Spain","Ourense","Enciña da Lastra (Rubiá)",42.46636,-6.830709,717,2024,4,15,NA,NA,"Monica Doblas Bajo, Saul Bernat Ponce","Alvaro Asenjo Guerra",0,2,0,0,"https://doi.org/10.70186/baeeNRAG6998",NA,"UCME","Núñez Carbajal, A.; Álvarez Fidalgo, P.; Jiménez Fernández, I.; Fernández Álvarez, C.; Asenjo Guerra, Á.; Jiménez Rodríguez, Y.; López Dos Santos, N.; González-Ferreiro, M.; Cabezas Torrero, G & Yanguas-Fernandez, E. ","2023, pantraps; 2024, transects",""
"Eucera","Eucera","nigrescens",NA,"Spain","Ourense","Enciña da Lastra (Rubiá)",42.46636,-6.830709,717,2024,5,8,NA,NA,"Monica Doblas Bajo, Carlos Fernandez Alvarez","Mario Gonzalez Ferreiro",0,1,0,0,"https://doi.org/10.70186/baeeNRAG6999",NA,"UCME","Núñez Carbajal, A.; Álvarez Fidalgo, P.; Jiménez Fernández, I.; Fernández Álvarez, C.; Asenjo Guerra, Á.; Jiménez Rodríguez, Y.; López Dos Santos, N.; González-Ferreiro, M.; Cabezas Torrero, G & Yanguas-Fernandez, E. ","2023, pantraps; 2024, transects",""
"Eucera","Eucera","nigrescens",NA,"Spain","Ourense","Enciña da Lastra (Rubiá)",42.46636,-6.830709,717,2024,6,1,NA,NA,"Luis de Pedro Noriega, Monica Doblas Bajo","Ines Jimenez Fernandez",1,0,0,0,"https://doi.org/10.70186/baeeNRAG7000",NA,"UCME","Núñez Carbajal, A.; Álvarez Fidalgo, P.; Jiménez Fernández, I.; Fernández Álvarez, C.; Asenjo Guerra, Á.; Jiménez Rodríguez, Y.; López Dos Santos, N.; González-Ferreiro, M.; Cabezas Torrero, G & Yanguas-Fernandez, E. ","2023, pantraps; 2024, transects",""
