flag;checked;synonym_names;questionable;accepted_name;accepted_subspecies;Notes
Bombus pascurorum;NA;NA;NA;NA;NA;NA
Bombus pascurum;NA;NA;NA;NA;NA;NA
Bombus pyrenaeus?;NA;NA;NA;NA;NA;NA
Bombus qeistaeckeri;NA;NA;NA;NA;NA;NA
Bombus rudararius;NA;NA;NA;NA;NA;NA
Bombus sicheli;NA;NA;NA;NA;NA;NA
Bombus silvestris;NA;NA;NA;NA;NA;NA
Bombus subterraneous;NA;NA;NA;NA;NA;NA
Bombus terrestri;NA;NA;NA;NA;NA;NA
Bombus terrestris, lucorum?;NA;NA;NA;NA;NA;NA
Bombus terrestris?;NA;NA;NA;NA;NA;NA
Bombus terrestris?terrestris oscuro;NA;NA;NA;NA;NA;NA
Bombus wuerflenii;NA;NA;NA;NA;NA;NA
Bombus wurfleinii;NA;NA;NA;NA;NA;NA
Ceratina curcubitina;NA;NA;NA;NA;NA;NA
Coelioxys aurolimbata algeriensis;NA;NA;NA;NA;NA;NA
Coelioxys auroliubata;NA;NA;NA;NA;NA;NA
Colletes albescens;NA;NA;NA;NA;NA;NA
Colletes dimidiatus;NA;NA;NA;NA;NA;NA
Dioxys cinta;NA;NA;NA;NA;NA;NA
Dioxys tridentata;NA;NA;NA;NA;NA;NA
Dufourea maura;NA;NA;NA;NA;NA;NA
Eucera acutangula;NA;NA;NA;NA;NA;NA
Eucera antena;NA;NA;NA;NA;NA;NA
Eucera antigae;NA;NA;NA;NA;NA;NA
Eucera asensioi;NA;NA;NA;NA;NA;NA
Eucera berlandi;NA;NA;NA;NA;NA;NA
Eucera clipeo;NA;NA;NA;NA;NA;NA
Eucera clípeo;NA;NA;NA;NA;NA;NA
Eucera dufouri;NA;NA;NA;NA;NA;NA
Eucera lanuginosus;NA;NA;NA;NA;NA;NA
Eucera nigrencens;NA;NA;NA;NA;NA;NA
Halictus albipes;NA;NA;NA;NA;NA;NA
Halictus albomaculatus;NA;NA;NA;NA;NA;NA
Halictus asellus;NA;NA;NA;NA;NA;NA
Halictus asperellus;NA;NA;NA;NA;NA;NA
Halictus atrovirens;NA;NA;NA;NA;NA;NA
Halictus aureolus;NA;NA;NA;NA;NA;NA
Halictus bimaculatus;NA;NA;NA;NA;NA;NA
Halictus brevicornis;NA;NA;NA;NA;NA;NA
Halictus breviventris;NA;NA;NA;NA;NA;NA
Halictus buccalis;NA;NA;NA;NA;NA;NA
Halictus caelebs;NA;NA;NA;NA;NA;NA
Halictus calceatus;NA;NA;NA;NA;NA;NA
Halictus callizonius;NA;NA;NA;NA;NA;NA
Halictus capitalis;NA;NA;NA;NA;NA;NA
Halictus carneiventris;NA;NA;NA;NA;NA;NA
Halictus clavipes;NA;NA;NA;NA;NA;NA
Halictus coelebs;NA;NA;NA;NA;NA;NA
Halictus costulatus;NA;NA;NA;NA;NA;NA
Halictus cremicornis;NA;NA;NA;NA;NA;NA
Halictus cupromicans;NA;NA;NA;NA;NA;NA
Halictus dusmet;NA;NA;NA;NA;NA;NA
Halictus elegans;NA;NA;NA;NA;NA;NA
Halictus fasciatus;NA;NA;NA;NA;NA;NA
Halictus flavipes;NA;NA;NA;NA;NA;NA
Halictus Frey-Gessneri;NA;NA;NA;NA;NA;NA
Halictus frontalis;NA;NA;NA;NA;NA;NA
Halictus fulvicornis;NA;NA;NA;NA;NA;NA
Halictus geminatus;NA;NA;NA;NA;NA;NA
Halictus gemmea;NA;NA;NA;NA;NA;NA
Halictus gemmella;NA;NA;NA;NA;NA;NA
Halictus glabriusculus;NA;NA;NA;NA;NA;NA
Halictus griseolus;NA;NA;NA;NA;NA;NA
Halictus holtzi;NA;NA;NA;NA;NA;NA
Halictus immunitus;NA;NA;NA;NA;NA;NA
Halictus interruptus;NA;NA;NA;NA;NA;NA
Halictus laevigatus;NA;NA;NA;NA;NA;NA
Halictus laticeps;NA;NA;NA;NA;NA;NA
Halictus lativentris;NA;NA;NA;NA;NA;NA
Halictus leucopus;NA;NA;NA;NA;NA;NA
Halictus leucozonius;NA;NA;NA;NA;NA;NA
Halictus littoralis;NA;NA;NA;NA;NA;NA
Halictus lucidulus;NA;NA;NA;NA;NA;NA
Halictus maculipes;NA;NA;NA;NA;NA;NA
Halictus malachurum;NA;NA;NA;NA;NA;NA
Halictus marginatus;NA;NA;NA;NA;NA;NA
Halictus marginellus;NA;NA;NA;NA;NA;NA
Halictus minutissimus;NA;NA;NA;NA;NA;NA
Halictus minutulus;NA;NA;NA;NA;NA;NA
Halictus minutus;NA;NA;NA;NA;NA;NA
Halictus morio;NA;NA;NA;NA;NA;NA
Halictus nitidiusculus;NA;NA;NA;NA;NA;NA
Halictus nitidus;NA;NA;NA;NA;NA;NA
Halictus orihuelicus;NA;NA;NA;NA;NA;NA
Halictus pallens;NA;NA;NA;NA;NA;NA
Halictus pauperatus;NA;NA;NA;NA;NA;NA
Halictus pauxillum;NA;NA;NA;NA;NA;NA
Halictus pauxillus;NA;NA;NA;NA;NA;NA
Halictus perezi;NA;NA;NA;NA;NA;NA
Halictus planulus;NA;NA;NA;NA;NA;NA
Halictus platycestus;NA;NA;NA;NA;NA;NA
Halictus politus;NA;NA;NA;NA;NA;NA
Halictus prasinus;NA;NA;NA;NA;NA;NA
Halictus pseudoplanulus;NA;NA;NA;NA;NA;NA
Halictus punctatissimus;NA;NA;NA;NA;NA;NA
Halictus puncticollis;NA;NA;NA;NA;NA;NA
Halictus pygmaeus;NA;NA;NA;NA;NA;NA
Halictus quadrinctatus;NA;NA;NA;NA;NA;NA
Halictus quadrisignatus;NA;NA;NA;NA;NA;NA
Halictus rhodosianus;NA;NA;NA;NA;NA;NA
Halictus sacabiosae;NA;NA;NA;NA;NA;NA
Halictus seladonia;NA;NA;NA;NA;NA;NA
Halictus similar;NA;NA;NA;NA;NA;NA
Halictus simplex,;NA;NA;NA;NA;NA;NA
Halictus smeathmanellus;NA;NA;NA;NA;NA;NA
Halictus sphecodimorphus;NA;NA;NA;NA;NA;NA
Halictus strictifrons;NA;NA;NA;NA;NA;NA
Halictus subaenescens;NA;NA;NA;NA;NA;NA
Halictus subaurata;NA;NA;NA;NA;NA;NA
Halictus subaurutus;NA;NA;NA;NA;NA;NA
Halictus subfasciatus;NA;NA;NA;NA;NA;NA
Halictus subhirtus;NA;NA;NA;NA;NA;NA
Halictus submediterranea;NA;NA;NA;NA;NA;NA
Halictus tricintus;NA;NA;NA;NA;NA;NA
Halictus truncaticollis;NA;NA;NA;NA;NA;NA
Halictus vergilianus;NA;NA;NA;NA;NA;NA
Halictus villosulus;NA;NA;NA;NA;NA;NA
Halictus xanthopus;NA;NA;NA;NA;NA;NA
Halictus zonuius;NA;NA;NA;NA;NA;NA
Hoplitis bidentata;NA;NA;NA;NA;NA;NA
Hoplitis cristata;NA;NA;NA;NA;NA;NA
Hoplitis cristatitla;NA;NA;NA;NA;NA;NA
Hoplitis ononidis;NA;NA;NA;NA;NA;NA
Hylaeus bisinuatus;NA;NA;NA;NA;NA;NA
Hylaeus congruens;NA;NA;NA;NA;NA;NA
Hylaeus gredieri;NA;NA;NA;NA;NA;NA
Hylaeus imparallis;NA;NA;NA;NA;NA;NA
Hylaeus lineopatus;NA;NA;NA;NA;NA;NA
Hylaeus maderensis;NA;NA;NA;NA;NA;NA
Icteranthidium ghrohmanni;NA;NA;NA;NA;NA;NA
Icteranthidium ghrohmanni?;NA;NA;NA;NA;NA;NA
Icteranthidium ghromanni;NA;NA;NA;NA;NA;NA
Icteranthidium grohmanii;NA;NA;NA;NA;NA;NA
Lasioglossum atrovirens;NA;NA;NA;NA;NA;NA
Lasioglossum consobrinus;NA;NA;NA;NA;NA;NA
Lasioglossum discus;NA;NA;NA;NA;NA;NA
Lasioglossum Interruptum;NA;NA;NA;NA;NA;NA
Lasioglossum leptocephalum;NA;NA;NA;NA;NA;NA
Lasioglossum minutum;NA;NA;NA;NA;NA;NA
Lasioglossum smaragdulus;NA;NA;NA;NA;NA;NA
Lasioglossum smeathmanellus;NA;NA;NA;NA;NA;NA
Lasioglossum titusi;NA;NA;NA;NA;NA;NA
Lasioglossum transitorius;NA;NA;NA;NA;NA;NA
Lasioglossum wollastoni;NA;NA;NA;NA;NA;NA
Lithurgus chrysurus \chico\,NA,España;NA;NA;NA;NA;NA;NA
Megachile albonotata setulosa;NA;NA;NA;NA;NA;NA
Megachile cetuncularis;NA;NA;NA;NA;NA;NA
Megachile cf pyrenaica;NA;NA;NA;NA;NA;NA
Megachile circucimcta;NA;NA;NA;NA;NA;NA
Megachile lagopoda-maritima;NA;NA;NA;NA;NA;NA
Megachile lagopoda?;NA;NA;NA;NA;NA;NA
Megachile lefebvrei albida;NA;NA;NA;NA;NA;NA
Megachile retundata;NA;NA;NA;NA;NA;NA
NA (dennenbos)\,NA,,,,NA,NA,,NA,NA,NA,NA,//;NA;NA;NA;NA;NA;NA
NA on flowers of Cistus hirsutus Lamk.\,NA,,,,NA,NA,,NA,NA,NA,NA,//;NA;NA;NA;NA;NA;NA
NA Rubus\,NA,,,,NA,NA,,NA,NA,NA,NA,//;NA;NA;NA;NA;NA;NA
Nomioides fallax;NA;NA;NA;NA;NA;NA
Osmia acuticornis;NA;NA;NA;NA;NA;NA
Osmia dimidata;NA;NA;NA;NA;NA;NA
Osmia grande;NA;NA;NA;NA;NA;NA
Osmia latreille;NA;NA;NA;NA;NA;NA
Osmia latrillei;NA;NA;NA;NA;NA;NA
Osmia madeirensis;NA;NA;NA;NA;NA;NA
Osmia xanthomelaena;NA;NA;NA;NA;NA;NA
Panurgus annulatus;NA;NA;NA;NA;NA;NA
Panurgus brullei;NA;NA;NA;NA;NA;NA
Panurgus friesei;NA;NA;NA;NA;NA;NA
Panurgus halictoides;NA;NA;NA;NA;NA;NA
Panurgus hispanicus;NA;NA;NA;NA;NA;NA
Panurgus phyllopodus;NA;NA;NA;NA;NA;NA
Panurgus Warncke;NA;NA;NA;NA;NA;NA
Peponapis pruinosa;NA;NA;NA;NA;NA;NA
Pseudapis bispinosa_agg;NA;NA;NA;NA;NA;NA
Pseudoanthidium liturathum;NA;NA;NA;NA;NA;NA
Pseudoanthidium lituratum       Ornosa det;NA;NA;NA;NA;NA;NA
Rhodanthidium septemdentatun;NA;NA;NA;NA;NA;NA
Rhodanthidium septempunctatum;NA;NA;NA;NA;NA;NA
Sphecodes divisus;NA;NA;NA;NA;NA;NA
Sphecodes marginaturs;NA;NA;NA;NA;NA;NA
Sphecodes rufierus;NA;NA;NA;NA;NA;NA
Stelis murina;NA;NA;NA;NA;NA;NA
Stelis phaeophtera;NA;NA;NA;NA;NA;NA
Stelis phoenoptera;NA;NA;NA;NA;NA;NA
Stelis puntulatissima;NA;NA;NA;NA;NA;NA
Stelis sin gáster....;NA;NA;NA;NA;NA;NA
Trachusa atlanticum;NA;NA;NA;NA;NA;NA
Trianthidium caturigense;NA;NA;NA;NA;NA;NA
Xylocopa vilolacea;NA;NA;NA;NA;NA;NA
Xylocopa virginica;NA;NA;NA;NA;NA;NA
