Genus;Subgenus;Species;Locality;Municipe;Province;Country;Day;Month;Year;Start.date;End.date;Altitud;UTM;Collector;Determined.by;Year.ident;Male;Female;Proced/caja
Pseudoanthidium;Royanthidium ;reticulatum;Sierra de Albarracín ;NA;Teruel;España;9;7;2008;NA;NA;1158 m;"40º98'57""N 1º52'37""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Megachile;Xanthosarus;lagopoda;Cerro Colgado;Cercedilla ;Madrid;España;19;7;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;F. Torres;2008;NA;1;NA
Megachile;Eutrich.;leachella;Cerro Colgado;Cercedilla ;Madrid;España;31;7;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Anthidium; manicatum;Cerro Colgado;Cercedilla ;Madrid;España;4;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Anthidium; manicatum;Cerro Colgado;Cercedilla ;Madrid;España;4;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;1;NA;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;4;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;UCME
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;5;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Anthidium; manicatum;Cerro Colgado;Cercedilla ;Madrid;España;5;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;1;NA;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;5;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;5;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;1;NA;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;5;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;1;NA;NA
Anthidium;Anthidium; manicatum;Cerro Colgado;Cercedilla ;Madrid;España;5;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;6;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;6;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;1;NA;NA
Megachile;Eutricharaea;leachella;Cerro Colgado;Cercedilla ;Madrid;España;6;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;6;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;6;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;6;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;6;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;8;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;8;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;8;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;8;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;1;NA;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;8;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;8;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;8;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;10;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;1;NA;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;11;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;11;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;11;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;11;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;12;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;13;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;13;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;13;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;13;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;15;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;15;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;15;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Proanthid;oblongatum;Cerro Colgado;Cercedilla ;Madrid;España;15;8;2008;NA;NA;1295m;"40º44'42.9""N 04º02'32.4""W";C. Ornosa;C. Ornosa;2008;1;NA;NA
