;ID;site;ITD;Genus;Species;Sex;plant_genus;plant_species;Determined.by;Day;Month;Year
480;480;BAT2CA;NA;Psylotrix;viridicoerulea;unknown;Comp2;NA;I. Bartomeus;27;4;2004
481;481;BAT2CA;NA;Psylotrix;viridicoerulea;unknown;Comp2;NA;I. Bartomeus;27;4;2004
482;482;BAT2CA;NA;Psylotrix;viridicoerulea;unknown;Comp2;NA;I. Bartomeus;27;4;2004
483;483;MED2CA;NA;Psylotrix;viridicoerulea;unknown;Cistus;salvifolius;I. Bartomeus;11;5;2005
484;484;BAT1CA;NA;Psylotrix;viridicoerulea;unknown;Aetheorrina;bulbosa;I. Bartomeus;21;4;2005
485;485;FRA1OP;NA;Rhagonycha;fulva;unknown;Eryngium;sp;I. Bartomeus;22;6;2004
486;486;BAT2CA;NA;Chryptocephalus;sp;unknown;Aetheorrina;bulbosa;I. Bartomeus;21;4;2005
487;487;SEL1OP;NA;Graphosoma;lineatum;unknown;Eryngium;sp;I. Bartomeus;8;7;2004
488;488;MIQ1OP;NA;Graphosoma;lineatum;unknown;Eryngium;sp;I. Bartomeus;6;7;2004
489;489;MIQ1OP;NA;Graphosoma;lineatum;unknown;Eryngium;sp;I. Bartomeus;6;7;2004
490;490;FRA1OP;NA;Chrysoperla;carnea;unknown;Daucus;sp;I. Bartomeus;22;6;2004
491;491;FRA1OP;NA;Chrysoperla;carnea;unknown;Daucus;sp;I. Bartomeus;22;6;2004
492;492;BAT1CA;NA;NA;NA;unknown;Aetheorrina;bulbosa;I. Bartomeus;21;4;2005
493;493;MED2CA;NA;NA;NA;unknown;Cistus;salvifolius;I. Bartomeus;26;4;2005
494;494;MED4CA;NA;NA;NA;unknown;Cistus;salvifolius;I. Bartomeus;27;4;2005
495;495;FRA2OP;NA;NA;NA;unknown;Convolvulus;sp;I. Bartomeus;14;6;2005
496;496;BAT2CA;NA;NA;NA;unknown;Sonchus;tenerrimus;I. Bartomeus;8;5;2005
497;497;BAT2CA;NA;NA;NA;unknown;Thymelea;hirsuta;I. Bartomeus;28;4;2005
498;498;MED2CA;NA;NA;NA;unknown;Cistus;salvifolius;I. Bartomeus;26;4;2005
499;499;BAT2CA;NA;NA;NA;unknown;Carpobrotus;edulis;I. Bartomeus;21;4;2005
500;500;FRA1OP;NA;NA;NA;unknown;Daucus;carota;I. Bartomeus;9;6;2005
501;501;MIQ1OP;NA;NA;NA;unknown;Sedum;sp;I. Bartomeus;6;7;2004
502;502;MED2CA;NA;NA;NA;unknown;Cistus;salvifolius;I. Bartomeus;11;5;2005
503;503;MED2CA;NA;NA;NA;unknown;Cistus;salvifolius;I. Bartomeus;11;5;2005
