"","Genus","Subgenus","Species","Subspecies","Accepted_name","Original_name","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_id","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries","Uid"
"287","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","PinaresdeHinojos","37.290","-6.433","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Armeria velutina","BF127","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8389"
"288","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","PinaresdeHinojos","37.405","-6.681","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Armeria velutina","BF153","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8390"
"289","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","Pinodelcuervo","37.405","-6.681","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Lavandula stoechas","BF145","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8391"
"290","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","Pinodelcuervo","37.195","-6.761","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Asphodelus fistulosus","BF137","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8392"
"291","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Sevilla","PinaresdeHinojos","37.218","-6.304","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Armeria velutina","BF127","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8393"
"292","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Sevilla","Villamanriquesur","37.235","-6.169","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Andryala integrifolia","BF150","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8394"
"293","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","Pinodelcuervo","37.282","-6.555","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Lavandula stoechas","BF145","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8395"
"294","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Sevilla","Esparragal","37.235","-6.169","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Cistus crispus","BF116","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8399"
"295","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","PinaresdeHinojos","37.195","-6.761","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",NA,1,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Armeria velutina","BF128","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8400"
"296","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","Urbanizaciones","37.233","-6.555","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",NA,1,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Cistus crispus","BF148","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8401"
"297","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","Villamanriquesur","37.292","-6.752","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",NA,1,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Armeria velutina","BF110","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8402"
"298","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","Aznalcazar","37.282","-6.555","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Cistus ladanifer","no_captured","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8407"
"299","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","Villamanriqueeste","37.288","-6.675","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Cistus crispus","BF124","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8409"
"300","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","Urbanizaciones","37.249","-6.661","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",NA,1,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Cistus crispus","BF148","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8410"
"301","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Sevilla","PinaresdeHinojos","37.239","-6.281","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Armeria velutina","BF127","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8411"
"302","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","Villamanriquesur","37.249","-6.661","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Andryala integrifolia","BF150","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8412"
"303","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Sevilla","CotitodeSantaTeresa","37.218","-6.304","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",NA,1,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Cistus crispus","BF112","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8413"
"304","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Sevilla","LaRocina","37.235","-6.169","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Lavandula pedunculata","BF642","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8414"
"305","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Sevilla","Villamanriquesur","37.239","-6.281","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Andryala integrifolia","BF150","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8415"
"306","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","Pinodelcuervo","37.282","-6.555","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Asphodelus fistulosus","BF137","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8416"
"307","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Sevilla","LaRocina","37.235","-6.169","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",NA,1,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Anchusa azurea","BF147","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8417"
"308","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","Villamanriquesur","37.233","-6.555","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Andryala integrifolia","BF150","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8419"
"309","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","PinaresdeHinojos","37.282","-6.555","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Armeria velutina","BF153","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8420"
"310","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","PinaresdeHinojos","37.282","-6.555","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",NA,1,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Armeria velutina","BF125","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8421"
"311","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","PinaresdeHinojos","37.233","-6.555","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",NA,1,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Armeria velutina","BF128","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8422"
"312","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","Villamanriquesur","37.331","-6.668","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Andryala integrifolia","BF150","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8423"
"313","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","PinaresdeHinojos","37.195","-6.761","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Armeria velutina","BF153","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8424"
"314","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","PinaresdeHinojos","37.288","-6.675","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",NA,1,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Armeria velutina","BF118","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8425"
"315","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","PinaresdeHinojos","37.124","-6.507","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",NA,1,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Armeria velutina","BF128","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8426"
"316","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","Villamanriquesur","37.195","-6.761","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",NA,1,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Armeria velutina","BF110","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8427"
"317","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Sevilla","PinaresdeHinojos","37.218","-6.304","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Armeria velutina","BF121","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8428"
"318","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Sevilla","Villamanriquesur","37.218","-6.304","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",NA,1,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Halimium halimifolium","BF132","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8429"
"319","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Sevilla","Bonares","37.239","-6.281","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Thapsia villosa","BF143","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8430"
"320","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","Villamanriquesur","37.288","-6.675","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Andryala integrifolia","BF150","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8432"
"321","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","Aznalcazar","37.292","-6.752","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Cistus ladanifer","no_captured","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8433"
"322","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Sevilla","Villamanriqueeste","37.235","-6.169","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",NA,1,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Cistus crispus","BF152","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8434"
"323","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","LaRocina","37.249","-6.661","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Lavandula pedunculata","no_captured","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8496"
"324","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Sevilla","PinaresdeHinojos","37.235","-6.169","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",NA,1,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Armeria velutina","BF128","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8497"
"325","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","Urbanizaciones","37.282","-6.555","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",NA,1,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Cistus crispus","BF148","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8509"
"326","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","LaRocina","37.290","-6.433","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",NA,1,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Anchusa azurea","BF147","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8510"
"327","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","PinaresdeHinojos","37.405","-6.681","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",NA,1,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Armeria velutina","BF125","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8511"
"328","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","PinaresdeHinojos","37.405","-6.681","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Armeria velutina","BF121","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8512"
"329","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","Villamanriquesur","37.405","-6.681","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",NA,1,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Armeria velutina","BF110","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8513"
"330","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","Villamanriqueeste","37.214","-6.372","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Cistus crispus","BF124","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8514"
"331","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","PinaresdeHinojos","37.233","-6.555","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Armeria velutina","BF121","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8515"
"332","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Sevilla","Villamanriqueeste","37.291","-6.223","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",NA,1,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Cistus crispus","BF152","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8516"
"333","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","PinaresdeHinojos","37.195","-6.761","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",NA,1,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Armeria velutina","BF118","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8517"
"334","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","Villamanriqueeste","37.282","-6.555","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Cistus crispus","BF124","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8519"
"335","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","LaRocina","37.292","-6.752","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Lavandula pedunculata","BF642","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8552"
"336","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","LaCunya","37.282","-6.555","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Leontodon longirostris","BF718","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8553"
"337","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","Villamanriqueeste","37.292","-6.752","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Cistus crispus","BF124","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8573"
"338","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","CotitodeSantaTeresa","37.124","-6.507","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",NA,1,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Cistus crispus","BF112","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8574"
"339","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","LaCunya","37.247","-6.429","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Leontodon longirostris","BF718","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8575"
"340","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","LaCunya","37.124","-6.507","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Leontodon longirostris","BF718","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8577"
"341","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","PinaresdeHinojos","37.233","-6.555","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Armeria velutina","BF127","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8636"
"342","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","PinaresdeHinojos","37.233","-6.555","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",NA,1,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Armeria velutina","BF120","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8637"
"343","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","Villamanriqueeste","37.405","-6.681","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",NA,1,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Cistus crispus","BF152","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8652"
"344","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","LaRocina","37.214","-6.372","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Lavandula pedunculata","BF642","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8653"
"345","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","LaRocina","37.290","-6.433","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Lavandula pedunculata","no_captured","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8654"
"346","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Sevilla","CotitodeSantaTeresa","37.239","-6.281","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",NA,1,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Cistus crispus","BF112","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8655"
"347","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Sevilla","LaRocina","37.218","-6.304","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Lavandula pedunculata","BF642","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8656"
"348","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","Villamanriquesur","37.195","-6.761","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",NA,1,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Halimium halimifolium","BF132","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8657"
"349","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","LaRocina","37.288","-6.675","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Lavandula pedunculata","no_captured","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8658"
"350","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","Aznalcazar","37.405","-6.681","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Cistus crispus","BF131","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8659"
"351","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","Villamanriquesur","37.331","-6.668","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",NA,1,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Armeria velutina","BF110","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8660"
"352","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","Villamanriqueeste","37.233","-6.555","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",NA,1,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Cistus crispus","BF152","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8661"
"353","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Sevilla","LaRocina","37.291","-6.223","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Lavandula pedunculata","BF642","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8662"
"354","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","Pinodelcuervo","37.288","-6.675","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Lavandula stoechas","BF145","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8663"
"355","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","Pinodelcuervo","37.331","-6.668","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Asphodelus fistulosus","BF137","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8664"
"356","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Sevilla","LaRocina","37.239","-6.281","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Lavandula pedunculata","no_captured","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8665"
"357","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","Esparragal","37.233","-6.555","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",1,NA,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Cistus crispus","BF116","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8666"
"358","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Huelva","Villamanriquesur","37.292","-6.752","gps",2015,NA,NA,NA,NA,"Curro Molina","Oscar Aguado",NA,1,NA,NA,"http://doi.org/10.5281/zenodo.3364037","Halimium halimifolium","BF132","I. Bartomeus, C. Molina",NA,NA,"17_Bartomeus_etal_8667"
