Family,Genus,Subgenus,Species,Subspecies,Authority,Notes
Megachilidae,Anthidiellum,Anthidiellum,breviusculum,NA,"(Pérez, 1890)",NA
Megachilidae,Anthidiellum,Anthidiellum,strigatum,NA,"(Panzer, 1805)",NA
Megachilidae,Anthidium,Anthidium,cingulatum,NA,"Latreille, 1809",NA
Megachilidae,Anthidium,Anthidium,diadema,NA,"Latreille, 1809",NA
Megachilidae,Anthidium,Anthidium,florentinum,NA,"(Fabricius, 1775)",NA
Megachilidae,Anthidium,Anthidium,loti,NA,"Perris, 1852",NA
Megachilidae,Anthidium,Anthidium,manicatum,NA,"(Linnaeus, 1758)",NA
Megachilidae,Anthidium,Anthidium,montanum,NA,"Morawitz, 1864",NA
Megachilidae,Anthidium,Proanthidium,oblongatum,NA,"(Illiger, 1806)",NA
Megachilidae,Anthidium,Anthidium,punctatum,NA,"Latreille, 1809",NA
Megachilidae,Anthidium,Anthidium,septemspinosum,NA,"Lepeletier, 1841",NA
Megachilidae,Anthidium,Anthidium,taeniatum,NA,"Latreille, 1809",NA
Apidae,Anthophora,Pyganthophora,aestivalis,NA,"(Panzer, 1801)",NA
Apidae,Anthophora,Lophanthophora,affinis,NA,"Brullé, 1832","A. biciliata is a synonym, both species listed by Ortiz-Sanchez"
Apidae,Anthophora,Lophanthophora,agama,NA,"Radoszkowski, 1869",NA
Apidae,Anthophora,Pyganthophora,andalusica,NA,"Pérez, 1902",NA
Apidae,Anthophora,Pyganthophora,atriceps,NA,"Pérez, 1879","A. thompsoni is a synonym, both species listed by Ortiz-Sanchez"
Apidae,Anthophora,Pyganthophora,atroalba,NA,"Lepeletier, 1841",NA
Apidae,Anthophora,Pyganthophora,balearica,NA,"(Friese, 1896)",NA
Apidae,Anthophora,Paramegilla,balneorum,NA,"Lepeletier, 1841",NA
Apidae,Anthophora,Heliophila,bimaculata,NA,"(Panzer, 1798)",NA
Apidae,Anthophora,Petalosternon,calcarata,NA,"Lepeletier, 1841",NA
Apidae,Anthophora,Anthophora,canescens,NA,"Brullé, 1832","A. subterranea is a synonym, listed by Ortiz-Sanchez"
Apidae,Anthophora,Petalosternon,crassipes,NA,"Lepeletier, 1841",NA
Apidae,Anthophora,Anthophora,crinipes,NA,"Smith, 1854","Anthophora salviae is a synonmy, nomenclatural problems, listed by Ortiz-Sanchez"
Apidae,Anthophora,Lophanthophora,dispar,NA,"Lepeletier, 1841",NA
Apidae,Anthophora,Caranthophora,dufourii,NA,"Lepeletier, 1841",NA
Apidae,Anthophora,Paramegilla,femorata,NA,"(Olivier, 1789)",NA
Apidae,Anthophora,Paramegilla,ferruginea,NA,"Lepeletier, 1841",NA
Apidae,Anthophora,Anthophora,fulvitarsis,NA,"Brullé, 1832",NA
Apidae,Anthophora,Heliophila,fulvodimidiata,NA,"Dours, 1869",NA
Apidae,Anthophora,Clisodon,furcata,NA,"(Panzer, 1798)",NA
Apidae,Anthophora,Paramegilla,gallica,NA,"Dalla Torre & Friese, 1895","A. quadricolor is a different species, listed by Ortiz-Sanchez"
Apidae,Anthophora,Lophanthophora,hispanica,NA,"(Fabricius, 1787)",NA
Apidae,Anthophora,Paramegilla,larvata,NA,"Giraud, 1863",NA
Apidae,Anthophora,Pyganthophora,leucophaea,NA,"Pérez, 1879",NA
Apidae,Anthophora,Lophanthophora,mucida,NA,"(Gribodo, 1873)",NA
Apidae,Anthophora,Melea,plagiata,NA,"(Illiger, 1806)",NA
Apidae,Anthophora,Anthophora,plumipes,NA,"(Pallas, 1772)",NA
Apidae,Anthophora,Paramegilla,podagra,NA,"Lepeletier, 1841",NA
Apidae,Anthophora,Caranthophora,pubescens,NA,Fabricius 1781,NA
Apidae,Anthophora,Anthophora,punctilabris,NA,"Pérez, 1879",NA
Apidae,Anthophora,Dasymegilla,quadrimaculata,NA,"(Panzer, 1798)",NA
Apidae,Anthophora,Pyganthophora,retusa,NA,"(Linnaeus, 1758)",NA
Apidae,Anthophora,Lophanthophora,robusta,NA,"(Klug, 1845)",NA
Apidae,Anthophora,Pyganthophora,romandii,NA,"Lepeletier, 1841",NA
Apidae,Anthophora,Anthophora,senescens,NA,Lepeletier 1841,NA
Apidae,Anthophora,Pyganthophora,senicula,NA,"Pérez, 1902",NA
Apidae,Apis,NA,mellifera,NA,"Linnaeus, 1758",NA
Apidae,Biastes,NA,brevicornis,NA,"(Panzer, 1798)",NA
Apidae,Bombus,Psithyrus,barbutellus,NA,"(Kirby, 1802)","maxillosus is just a subspecies/synonym, listed by Ortiz-Sanchez"
Apidae,Bombus,Psithyrus,bohemicus,NA,"Seidl, 1837",NA
Apidae,Bombus,Psithyrus,campestris,NA,"Panzer, 1801",NA
Apidae,Bombus,Confusibombus,confusus,NA,"Schenck, 1861",NA
Apidae,Bombus,Cullumanobombus,cullumanus,NA,"(Kirby, 1802)",NA
Apidae,Bombus,Psithyrus,flavidus,NA,"Eversmann, 1852",NA
Apidae,Bombus,Megabombus,gerstaeckeri,NA,"Morawitz, 1881",NA
Apidae,Bombus,Megabombus,hortorum,NA,"Linnaeus, 1761)",B. reinigiellus is a synonym of B. hortorum (manuscript in preparation)
Apidae,Bombus,Thoracobombus,humilis,NA,"Illiger, 1806",NA
Apidae,Bombus,Pyrobombus,hypnorum,NA,"(Linnaeus, 1758)",NA
Apidae,Bombus,Thoracobombus,inexspectatus,NA,(Tkalců  1963),NA
Apidae,Bombus,Pyrobombus,jonellus,NA,"(Kirby, 1802)",NA
Apidae,Bombus,Thoracobombus,laesus,NA,"Morawitz, 1875",inc. former species B. mocsaryi
Apidae,Bombus,Melanobombus,lapidarius,decipiens,"Pérez, 1890",NA
Apidae,Bombus,Bombus,lucorum,NA,"(Linnaeus, 1761)",NA
Apidae,Bombus,Bombus,magnus,NA,"Vogt, 1911",NA
Apidae,Bombus,Mendacibombus,mendax,NA,"Gerstäcker, 1869",NA
Apidae,Bombus,Thoracobombus,mesomelas,NA,"Gerstäcker, 1869",NA
Apidae,Bombus,Pyrobombus,monticola,NA,"Smith, 1849",NA
Apidae,Bombus,Thoracobombus,mucidus,NA,"Gerstäcker, 1869",NA
Apidae,Bombus,Thoracobombus,muscorum,NA,"(Linnaeus, 1758)",NA
Apidae,Bombus,Psithyrus,norvegicus,NA,"(Sparre-Schneider, 1918)",NA
Apidae,Bombus,Thoracobombus,pascuorum,NA,"(Scopoli, 1763)",NA
Apidae,Bombus,Pyrobombus,pratorum,NA,"(Linnaeus, 1761)",NA
Apidae,Bombus,Pyrobombus,pyrenaeus,NA,"Pérez, 1879",NA
Apidae,Bombus,Psithyrus,quadricolor,NA,"(Lepeletier, 1833)",NA
Apidae,Bombus,Thoracobombus,ruderarius,NA,"(Müller, 1776)",NA
Apidae,Bombus,Megabombus,ruderatus,NA,"(Fabricius, 1775)",NA
Apidae,Bombus,Psithyrus,rupestris,NA,"(Fabricius, 1793)",NA
Apidae,Bombus,Melanobombus,sichelii,NA,"Radoszkowski, 1859",NA
Apidae,Bombus,Kallobombus,soroeensis,NA,"(Fabricius, 1777)",NA
Apidae,Bombus,Subterraneobombus,subterraneus,NA,"(Linnaeus, 1758)",NA
Apidae,Bombus,Thoracobombus,sylvarum,NA,"(Linnaeus, 1761)",NA
Apidae,Bombus,Psithyrus,sylvestris,NA,"(Lepeletier, 1833)",NA
Apidae,Bombus,Bombus,terrestris,lusitanicus,"Krüger, 1956",NA
Apidae,Bombus,Psithyrus,vestalis,NA,"(Geoffroy in Fourcroy, 1785)",NA
Apidae,Bombus,Alpigenobombus,wurflenii,NA,"Radoszkowski, 1859",NA
Andrenidae,Camptopoeum,Camptopoeum,baldocki,NA,"Wood & Cross, 2017",NA
Andrenidae,Camptopoeum,Camptopoeum,friesei,euzonum,"(Warncke, 1972)",NA
Apidae,Ceratina,Euceratina,callosa,NA,"(Fabricius, 1794)",NA
Apidae,Ceratina,Euceratina,chalcites,NA,"Germar, 1839",NA
Apidae,Ceratina,Euceratina,chalybea,NA,"Chevrier, 1872",NA
Apidae,Ceratina,Ceratina,cucurbitina,NA,"(Rossi, 1792)",NA
Apidae,Ceratina,Euceratina,cyanea,NA,"(Kirby, 1802)",NA
Apidae,Ceratina,Euceratina,dallatorreana,NA,"Friese, 1896",NA
Apidae,Ceratina,Euceratina,dentiventris,NA,"Gerstäcker, 1869",NA
Apidae,Ceratina,Euceratina,gravidula,NA,"Gerstäcker, 1869",NA
Apidae,Ceratina,Euceratina,mocsaryi,NA,"Friese, 1896",NA
Apidae,Ceratina,Euceratina,nigrolabiata,NA,"Friese, 1896",NA
Apidae,Ceratina,Dalyatina,parvula,NA,"Smith, 1854",NA
Apidae,Ceratina,Euceratina,saundersi,NA,"Daly, 1983",NA
Halictidae,Ceylalictus,Ceylalictus,variegatus,NA,"(Olivier, 1789)",NA
