"","flag","Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries","uid","Original_name","rm","Genus_species","accepted_name"
"43","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Islas Canarias","Huerta Vicho","28.42449","-16.3784","","1993",NA,NA,NA,"12/10/1993","Rasmont P","Rasmont P",NA,"1",NA,NA,NA,NA,NA,"Compiled by T. Wood",NA,"RASMONT","54_Wood_etal_19969","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
"44","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Islas Canarias","Maspalomas, 20 Mi N","28.0688","-15.6615","","1976",NA,NA,NA,"06/11/1976","G. E. Bohart","Brooks Rw",NA,NA,NA,"1","Gbif,2015",NA,NA,"Compiled by T. Wood",NA,NA,"54_Wood_etal_11924","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
"45","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Islas Canarias","Tenerife, P. de la Cruz","28.33318","-16.47922","","1978",NA,NA,NA,"16/05/1978","G. E. Bohart","Brooks Rw",NA,NA,NA,"1","Gbif,2015",NA,NA,"Compiled by T. Wood",NA,NA,"54_Wood_etal_12843","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
"46","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Islas Canarias","Tenerife, P. de la Cruz","28.33318","-16.47922","","1978",NA,NA,NA,"16/05/1978",NA,"Rasmont P","2",NA,NA,NA,NA,NA,NA,"Compiled by T. Wood",NA,NA,"54_Wood_etal_12845","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
"47","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Islas Canarias","Maspalomas, 20 Mi N","28.0688","-15.6615","","1976",NA,NA,NA,"06/11/1976","G. E. Bohart","Brooks Rw",NA,NA,NA,"1","Gbif,2015",NA,NA,"Compiled by T. Wood",NA,NA,"54_Wood_etal_11925","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
"48","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Islas Canarias","Teide (Tenerife)","28.24059","-16.68177","","2013",NA,NA,NA,"22/07/2013",NA,"Rasmont P","1",NA,NA,NA,NA,NA,NA,"Compiled by T. Wood",NA,NA,"54_Wood_etal_26226","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
"49","Amegilla talaris","Amegilla",NA,"talaris","talaris","Spain","Girona","L'Estartit, dunes S. o","42.04362","3.1611",NA,"1963","6","18",NA,NA,"Online_Baker, Donald","Online_Baker, Donald","0","1","0","0",NA,NA,NA,NA,NA,NA,"i1_Gbif_5999","Amegilla talaris",NA,"Amegilla talaris","Amegilla albigena"
"50","Amegilla talaris","Amegilla",NA,"talaris","talaris","Spain","Girona","L'Estarti","42.05514","3.20036",NA,"1963","6","13",NA,NA,"Online_Baker, Donald","Online_Baker, Donald","1","0","0","0",NA,NA,NA,NA,NA,NA,"i1_Gbif_6002","Amegilla talaris",NA,"Amegilla talaris","Amegilla albigena"
"51","Amegilla talaris","Amegilla",NA,"talaris","talaris","Spain","Girona","Tamariu, Puig Gru","41.91497","3.20151",NA,"1962","6","15",NA,NA,"Online_Baker, D. & Baker, M.",NA,"0","0","0","1",NA,NA,NA,NA,NA,NA,"i1_Gbif_6117","Amegilla talaris",NA,"Amegilla talaris","Amegilla albigena"
"52","Amegilla talaris","Amegilla",NA,"talaris","talaris","Spain","Girona","L'Estarti","42.05514","3.20036",NA,"1963","6","9",NA,NA,"Online_Baker, Donald",NA,"0","0","0","1",NA,NA,NA,NA,NA,NA,"i1_Gbif_5998","Amegilla talaris",NA,"Amegilla talaris","Amegilla albigena"
