"","flag","checked","synonym_names","questionable","accepted_name","accepted_subspecies","Notes"
"2060","Eucera gracillipes",NA,NA,NA,NA,NA,NA
"2068","Eucera lanuginosus",NA,NA,NA,NA,NA,NA
"2069","Eucera lanuginosus",NA,NA,NA,NA,NA,NA
"2070","Eucera lanuginosus",NA,NA,NA,NA,NA,NA
"2071","Eucera lanuginosus",NA,NA,NA,NA,NA,NA
"2072","Eucera maroccana",NA,NA,NA,NA,NA,NA
"2073","Eucera nigrencens",NA,NA,NA,NA,NA,NA
"2094","Halictus asperellus",NA,NA,NA,NA,NA,NA
"2125","Halictus cremicornis",NA,NA,NA,NA,NA,NA
"2126","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2127","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2128","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2129","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2130","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2131","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2132","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2133","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2134","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2135","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2136","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2137","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2138","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2139","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2140","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2141","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2142","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2143","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2144","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2145","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2146","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2147","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2148","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2149","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2150","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2151","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2152","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2153","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2154","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2155","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2156","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2157","Halictus frontalis",NA,NA,NA,NA,NA,NA
