"Genus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision.(e.g..Collection.place.within.<XX.radius.of.the.provided.coordinate..For.example:.<10m;.<100m;.<1km;.<10km)","Year","Month","day","Start.date","End.Date","Collector","Determined.by","female","male","Worker","Not.specified","Reference.(doi)","Flowers.visited","Collection.Location_ID","Authors.to.give.credit","Any.other.additional.data"
"Lasioglossum","villosulum",NA,"Portugal","Porto Santo","Vila Baleira"," 33.071712°","-16.342801°","<500m",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,"Bidens pilosa","2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Lasioglossum","villosulum",NA,"Portugal","Porto Santo","Cabeço da Ponta"," 33.041060°","-16.361317°","<1km",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,"Umbeliferae","2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Lasioglossum","villosulum",NA,"Portugal","Porto Santo","Vila Baleira"," 33.071712°","-16.342801°","<500m",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,"Umbeliferae","2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Lasioglossum","villosulum",NA,"Portugal","Porto Santo","Pico Branco"," 33.092276°","-16.305155°","<250m",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,"Brassicaceae","2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Lasioglossum","wollastoni",NA,"Portugal","Porto Santo","Pico Branco"," 33.092276°","-16.305155°","<250m",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,"Mesembryanthemum cristalinum","2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Lasioglossum","wollastoni",NA,"Portugal","Porto Santo","Morenos"," 33.040860°","-16.389902°","<500m",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,"Rumex","2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Lasioglossum","wollastoni",NA,"Portugal","Porto Santo","Cabeço da Ponta"," 33.041060°","-16.361317°","<1km",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,"Mesembryanthemum cristalinum","2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Lasioglossum","wollastoni",NA,"Portugal","Porto Santo","Morenos"," 33.040860°","-16.389902°","<500m",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,"Umbeliferae","2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Lasioglossum","wollastoni",NA,"Portugal","Porto Santo","Morenos"," 33.040860°","-16.389902°","<500m",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,"Umbeliferae","2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Lasioglossum","wollastoni",NA,"Portugal","Porto Santo","Morenos"," 33.040860°","-16.389902°","<500m",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,"Senecio","2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Lasioglossum","wollastoni",NA,"Portugal","Porto Santo","Morenos"," 33.040860°","-16.389902°","<500m",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,"Echium nervosum","2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Lasioglossum","wollastoni",NA,"Portugal","Porto Santo","Cabeço da Ponta"," 33.041060°","-16.361317°","<1km",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,"Umbeliferae","2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Lasioglossum","wollastoni",NA,"Portugal","Porto Santo","Morenos"," 33.040860°","-16.389902°","<500m",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,NA,"2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Lasioglossum","wollastoni",NA,"Portugal","Porto Santo","Morenos"," 33.040860°","-16.389902°","<500m",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,"Andryala","2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Lasioglossum","wollastoni",NA,"Portugal","Porto Santo","Morenos"," 33.040860°","-16.389902°","<500m",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,NA,"2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Lasioglossum","wollastoni",NA,"Portugal","Porto Santo","Morenos"," 33.040860°","-16.389902°","<500m",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,2,NA,NA,"2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Lasioglossum","wollastoni",NA,"Portugal","Porto Santo","Morenos"," 33.040860°","-16.389902°","<500m",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,"Senecio","2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Lasioglossum","wollastoni",NA,"Portugal","Porto Santo","Morenos"," 33.040860°","-16.389902°","<500m",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,2,NA,NA,"2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Lasioglossum","wollastoni",NA,"Portugal","Porto Santo","Cabeço da Ponta"," 33.041060°","-16.361317°","<1km",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,"Asteraceae","2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Lasioglossum","wollastoni",NA,"Portugal","Porto Santo","Pico Branco"," 33.092276°","-16.305155°","<250m",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,"Geraniaceae","2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Lasioglossum","wollastoni",NA,"Portugal","Porto Santo","Cabeço da Ponta"," 33.041060°","-16.361317°","<1km",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,2,NA,NA,"2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Osmia","latreillei","iberoafricana","Portugal","Porto Santo","Vila Baleira"," 33.071712°","-16.342801°","<500m",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,2,NA,"Galactites tomentosa","2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Osmia","latreillei","iberoafricana","Portugal","Porto Santo","Cabeço da Ponta"," 33.041060°","-16.361317°","<1km",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,"Malvaceae","2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Osmia","latreillei","iberoafricana","Portugal","Porto Santo","Vila Baleira"," 33.071712°","-16.342801°","<500m",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,2,NA,"Umbeliferae","2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Bombus","terrestris",NA,"Portugal","Desertas","Castanheira"," 32.551449°","-16.527620°","<200m",2018,"maio",28,NA,NA,"Mário Boieiro e Fernando Madeira","Andreia Penado, Mário Boieiro e Fernando Madeira",0,0,1,0,NA,"Papaver","2gether","Andreia Penado, Mário Boieiro e Fernando Madeira","Direct observation"
"Bombus","terrestris",NA,"Portugal","Desertas","Planalto Sul"," 32.495840°","-16.497137°","<500m",2018,"maio",24,NA,NA,"Mário Boieiro e Fernando Madeira","Andreia Penado, Mário Boieiro e Fernando Madeira",2,0,2,0,NA,"Echium","2gether","Andreia Penado, Mário Boieiro e Fernando Madeira","Direct observation"
"Lasioglossum","wollastoni",NA,"Portugal","Desertas","Doca"," 32.514711°","-16.509419°","<100m",2018,"maio",19,NA,NA,"Mário Boieiro e Fernando Madeira","Andreia Penado, Mário Boieiro e Fernando Madeira",1,0,1,0,NA,NA,"2gether","Andreia Penado, Mário Boieiro e Fernando Madeira","Direct observation"
"Lasioglossum","wollastoni",NA,"Portugal","Desertas","Doca"," 32.514711°","-16.509419°","<100m",2018,"maio",19,NA,NA,"Mário Boieiro e Fernando Madeira","Andreia Penado, Mário Boieiro e Fernando Madeira",1,0,1,0,NA,NA,"2gether","Andreia Penado, Mário Boieiro e Fernando Madeira","Direct observation"
"Lasioglossum","wollastoni",NA,"Portugal","Desertas","Doca"," 32.514711°","-16.509419°","<100m",2018,"maio",19,NA,NA,"Mário Boieiro e Fernando Madeira","Andreia Penado, Mário Boieiro e Fernando Madeira",1,0,1,0,NA,NA,"2gether","Andreia Penado, Mário Boieiro e Fernando Madeira","Direct observation"
"Lasioglossum","wollastoni",NA,"Portugal","Desertas","Castanheira"," 32.551449°","-16.527620°","<200m",2018,"maio",28,NA,NA,"Mário Boieiro e Fernando Madeira","Andreia Penado, Mário Boieiro e Fernando Madeira",2,0,2,0,NA,NA,"2gether","Andreia Penado, Mário Boieiro e Fernando Madeira","Direct observation"
"Lasioglossum","wollastoni",NA,"Portugal","Desertas","Castanheira"," 32.551449°","-16.527620°","<200m",2018,"maio",28,NA,NA,"Mário Boieiro e Fernando Madeira","Andreia Penado, Mário Boieiro e Fernando Madeira",1,0,1,0,NA,"Crepis","2gether","Andreia Penado, Mário Boieiro e Fernando Madeira","Direct observation"
"Lasioglossum","wollastoni",NA,"Portugal","Desertas","Planalto Sul"," 32.495840°","-16.497137°","<500m",2018,"maio",24,NA,NA,"Mário Boieiro e Fernando Madeira","Andreia Penado, Mário Boieiro e Fernando Madeira",1,0,1,0,NA,NA,"2gether","Andreia Penado, Mário Boieiro e Fernando Madeira","Direct observation"
"Lasioglossum","wollastoni",NA,"Portugal","Desertas","Doca"," 32.514711°","-16.509419°","<100m",2018,"maio",19,NA,NA,"Mário Boieiro e Fernando Madeira","Andreia Penado, Mário Boieiro e Fernando Madeira",2,0,2,0,NA,"Silene","2gether","Andreia Penado, Mário Boieiro e Fernando Madeira","Direct observation"
"Andrena","maderensis",NA,"Portugal","Madeira","Ribeira da Janela"," 32.851716°","-17.150152°","<500m",2017,"abril",NA,2017-04-10,2017-04-24,"Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão e Cândida Ramos","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos",0,0,0,1,NA,"Bituminaria betuminosa","2gether","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos","Direct observation"
"Andrena","maderensis",NA,"Portugal","Madeira","Ribeira da Janela"," 32.851716°","-17.150152°","<500m",2017,"abril",NA,2017-04-10,2017-04-24,"Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão e Cândida Ramos","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos",0,0,0,1,NA,"Galactites","2gether","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos","Direct observation"
"Andrena","wollastoni",NA,"Portugal","Madeira","Ribeira da Janela"," 32.851716°","-17.150152°","<500m",2017,"abril",NA,2017-04-10,2017-04-24,"Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão e Cândida Ramos","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos",0,0,0,1,NA,"Euphorbia piscatoria","2gether","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos","Direct observation"
"Andrena","wollastoni",NA,"Portugal","Madeira","Ribeira da Janela"," 32.851716°","-17.150152°","<500m",2017,"abril",NA,2017-04-10,2017-04-24,"Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão e Cândida Ramos","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos",0,0,0,5,NA,"Rapistrum","2gether","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos","Direct observation"
"Andrena","wollastoni",NA,"Portugal","Madeira","Ribeira da Janela"," 32.851716°","-17.150152°","<500m",2017,"abril",NA,2017-04-10,2017-04-24,"Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão e Cândida Ramos","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos",0,0,0,3,NA,"Euphorbia piscatoria","2gether","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos","Direct observation"
"Andrena","wollastoni",NA,"Portugal","Madeira","Ribeira da Janela"," 32.847730°","-17.159301°","<250m",2017,"maio",14,NA,NA,"Carla Rego e Mário Boieiro","Andreia Penado, Carla Rego e Mário Boieiro",0,0,0,3,NA,"Petroselinum","2gether","Andreia Penado, Carla Rego e Mário Boieiro","Direct observation"
"Apis","mellifera",NA,"Portugal","Madeira","Ribeira da Janela"," 32.851716°","-17.150152°","<500m",2017,"abril",NA,2017-04-10,2017-04-24,"Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão e Cândida Ramos","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos",0,0,0,1,NA,"Galactites","2gether","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos","Direct observation"
"Apis","mellifera",NA,"Portugal","Madeira","Ribeira da Janela"," 32.851414°","-17.156008°","<500m",2017,"abril",NA,2017-04-10,2017-04-24,"Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão e Cândida Ramos","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos",0,0,0,1,NA,NA,"2gether","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos","Direct observation"
"Apis","mellifera",NA,"Portugal","Madeira","Ribeira da Janela"," 32.851414°","-17.156008°","<500m",2017,"abril",NA,2017-04-10,2017-04-24,"Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão e Cândida Ramos","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos",0,0,0,1,NA,NA,"2gether","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos","Direct observation"
"Apis","mellifera",NA,"Portugal","Madeira","Ribeira da Janela"," 32.851414°","-17.156008°","<500m",2017,"abril",NA,2017-04-10,2017-04-24,"Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão e Cândida Ramos","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos",0,0,0,1,NA,NA,"2gether","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos","Direct observation"
"Apis","mellifera",NA,"Portugal","Madeira","Ribeira da Janela"," 32.851414°","-17.156008°","<500m",2017,"abril",NA,2017-04-10,2017-04-24,"Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão e Cândida Ramos","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos",0,0,0,1,NA,NA,"2gether","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos","Direct observation"
"Apis","mellifera",NA,"Portugal","Madeira","Ribeira da Janela"," 32.851414°","-17.156008°","<500m",2017,"abril",NA,2017-04-10,2017-04-24,"Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão e Cândida Ramos","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos",0,0,0,1,NA,NA,"2gether","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos","Direct observation"
"Apis","mellifera",NA,"Portugal","Madeira","Ribeira da Janela"," 32.851414°","-17.156008°","<500m",2017,"abril",NA,2017-04-10,2017-04-24,"Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão e Cândida Ramos","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos",0,0,0,1,NA,NA,"2gether","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos","Direct observation"
"Apis","mellifera",NA,"Portugal","Madeira","Ribeira da Janela"," 32.851414°","-17.156008°","<500m",2017,"abril",NA,2017-04-10,2017-04-24,"Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão e Cândida Ramos","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos",0,0,0,1,NA,NA,"2gether","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos","Direct observation"
"Apis","mellifera",NA,"Portugal","Madeira","Ribeira da Janela"," 32.851414°","-17.156008°","<500m",2017,"abril",NA,2017-04-10,2017-04-24,"Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão e Cândida Ramos","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos",0,0,0,1,NA,NA,"2gether","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos","Direct observation"
"Bombus","terrestris",NA,"Portugal","Madeira","Ribeira da Janela"," 32.851414°","-17.156008°","<500m",2017,"abril",NA,2017-04-10,2017-04-24,"Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão e Cândida Ramos","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos",0,0,0,1,NA,NA,"2gether","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos","Direct observation"
"Bombus","terrestris",NA,"Portugal","Madeira","Ribeira da Janela"," 32.851414°","-17.156008°","<500m",2017,"abril",NA,2017-04-10,2017-04-24,"Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão e Cândida Ramos","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos",0,0,0,1,NA,NA,"2gether","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos","Direct observation"
"Bombus","terrestris",NA,"Portugal","Madeira","Ribeira da Janela"," 32.851414°","-17.156008°","<500m",2017,"abril",NA,2017-04-10,2017-04-24,"Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão e Cândida Ramos","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos",0,0,0,1,NA,NA,"2gether","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos","Direct observation"
"Bombus","terrestris",NA,"Portugal","Madeira","Ribeira da Janela"," 32.851414°","-17.156008°","<500m",2017,"abril",NA,2017-04-10,2017-04-24,"Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão e Cândida Ramos","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos",0,0,0,1,NA,NA,"2gether","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos","Direct observation"
"Bombus","terrestris",NA,"Portugal","Madeira","Ribeira da Janela"," 32.851414°","-17.156008°","<500m",2017,"abril",NA,2017-04-10,2017-04-24,"Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão e Cândida Ramos","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos",0,0,0,1,NA,NA,"2gether","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos","Direct observation"
"Bombus","terrestris",NA,"Portugal","Madeira","Ribeira da Janela"," 32.851414°","-17.156008°","<500m",2017,"abril",NA,2017-04-10,2017-04-24,"Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão e Cândida Ramos","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos",0,0,0,1,NA,NA,"2gether","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos","Direct observation"
"Bombus","terrestris",NA,"Portugal","Madeira","Ribeira da Janela"," 32.851414°","-17.156008°","<500m",2017,"abril",NA,2017-04-10,2017-04-24,"Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão e Cândida Ramos","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos",0,0,0,1,NA,NA,"2gether","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos","Direct observation"
"Hylaeus","maderensis",NA,"Portugal","Madeira","Ribeira da Janela"," 32.851716°","-17.150152°","<500m",2017,"abril",NA,2017-04-10,2017-04-24,"Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão e Cândida Ramos","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos",0,1,0,0,NA,"Euphorbia piscatoria","2gether","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos","Direct observation"
"Halictus","frontalis",NA,"Portugal","Madeira","Ribeira da Janela"," 32.851716°","-17.150152°","<500m",2017,"abril",NA,2017-04-10,2017-04-24,"Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão e Cândida Ramos","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos",0,0,0,1,NA,"Galactites","2gether","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos","Direct observation"
"Halictus","frontalis",NA,"Portugal","Madeira","Ribeira da Janela"," 32.851716°","-17.150152°","<500m",2017,"abril",NA,2017-04-10,2017-04-24,"Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão e Cândida Ramos","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos",0,0,0,1,NA,"Andryala","2gether","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos","Direct observation"
"Halictus","frontalis",NA,"Portugal","Madeira","Ribeira da Janela"," 32.851716°","-17.150152°","<500m",2017,"abril",NA,2017-04-10,2017-04-24,"Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão e Cândida Ramos","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos",0,0,0,1,NA,"Galactites","2gether","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos","Direct observation"
"Halictus","frontalis",NA,"Portugal","Madeira","Ribeira da Janela"," 32.851716°","-17.150152°","<500m",2017,"abril",NA,2017-04-10,2017-04-24,"Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão e Cândida Ramos","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos",0,0,0,1,NA,"Andryala","2gether","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos","Direct observation"
"Lasioglossum","villosulum",NA,"Portugal","Madeira","Ribeira da Janela"," 32.851716°","-17.150152°","<500m",2017,"abril",NA,2017-04-10,2017-04-24,"Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão e Cândida Ramos","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos",0,0,0,1,NA,"Asteraceae","2gether","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos","Direct observation"
"Lasioglossum","villosulum",NA,"Portugal","Madeira","Ribeira da Janela"," 32.851716°","-17.150152°","<500m",2017,"abril",NA,2017-04-10,2017-04-24,"Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão e Cândida Ramos","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos",0,0,0,1,NA,"Asteraceae","2gether","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos","Direct observation"
"Lasioglossum","villosulum",NA,"Portugal","Madeira","Ribeira da Janela"," 32.851716°","-17.150152°","<500m",2017,"abril",NA,2017-04-10,2017-04-24,"Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão e Cândida Ramos","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos",0,0,0,1,NA,"Andryala","2gether","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos","Direct observation"
"Lasioglossum","wollastoni",NA,"Portugal","Madeira","Ribeira da Janela"," 32.851716°","-17.150152°","<500m",2017,"abril",NA,2017-04-10,2017-04-24,"Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão e Cândida Ramos","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos",0,0,0,1,NA,"Asteraceae","2gether","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos","Direct observation"
"Lasioglossum","wollastoni",NA,"Portugal","Madeira","Ribeira da Janela"," 32.851716°","-17.150152°","<500m",2017,"abril",NA,2017-04-10,2017-04-24,"Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão e Cândida Ramos","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos",0,0,0,1,NA,"Asteraceae","2gether","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos","Direct observation"
"Lasioglossum","wollastoni",NA,"Portugal","Madeira","Ribeira da Janela"," 32.851716°","-17.150152°","<500m",2017,"abril",NA,2017-04-10,2017-04-24,"Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão e Cândida Ramos","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos",0,0,0,1,NA,"Rapistrum","2gether","Carla Rego, Mário Boieiro, Renata Santos, Ana Mourão, Andreia Penado e Cândida Ramos","Direct observation"
