"Género","Subgén","Especie","Localidad","Municipio","Provincia","País","Fecha.capt","Altitud","GPS","GPS","Colector","Identificador","Año.ident","Machos","Hembras","Proced/caja"
"Bombus ","Thoracobombus ? Rhodobombus?","mesomelas","Soldeu","Pirineos","Andorra","Andorra","28-VII-2006","2.300 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 reina","UCME"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,"UCME"
"Bombus ","Thoracobombus ? Rhodobombus?","mesomelas","Baqueira, Ruda","Pirineos","Lérida","España","27-VII-2006","1.550 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris","Campanarios de Azaba",NA,"Salamanca","España","26-VI-2010",NA,NA,NA,"Micó et al.","C. Ornosa","2012",NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris","Campanarios de Azaba",NA,"Salamanca","España","26-VI-2010",NA,NA,NA,"Micó et al.","C. Ornosa","2012",NA,"1 reina","UCME"
"Bombus ","Bombus","terrestris","Campanarios de Azaba",NA,"Salamanca","España","26-VI-2010",NA,NA,NA,"Micó et al.","C. Ornosa","2012",NA,NA,NA
"Bombus ","Bombus","terrestris","Campanarios de Azaba",NA,"Salamanca","España","26-VI-2010",NA,NA,NA,"Micó et al.","C. Ornosa","2012",NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris","Campanarios de Azaba",NA,"Salamanca","España","26-VI-2010",NA,NA,NA,"Micó et al.","C. Ornosa","2012",NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris","Campanarios de Azaba",NA,"Salamanca","España","26-VI-2010",NA,NA,NA,"Micó et al.","C. Ornosa","2012",NA,NA,NA
"Bombus ","Bombus","terrestris","Campanarios de Azaba",NA,"Salamanca","España","12-IV-2011",NA,NA,NA,"Quinto et al.","C. Ornosa","2012",NA,"1 obrera","UCME"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1obrera","UCME"
"Bombus","Melanobombus","lapidarius","Panticosa, alto",NA,"Huesca",NA,"5-VI-2006",NA,NA,NA,"C. Ornosa","C. Ornosa","2006",NA,NA,NA
"Bombus","Melanobombus","lapidarius","Panticosa, alto",NA,"Huesca",NA,"5-VI-2006",NA,NA,NA,"C. Ornosa","C. Ornosa","2006",NA,"1obrera","UCME"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1obrera","UCME"
"Bombus","Melanobombus","lapidarius","Puerto Sahún","Valle de Benasque","Huesca",NA,"14-VII-2011",NA,NA,NA,"C. Ornosa","C. Ornosa","2011",NA,NA,NA
"Bombus","Melanobombus","lapidarius","Chía, Mirador","Valle de Benasque","Huesca",NA,"14-VII-2011",NA,NA,NA,"C. Ornosa","C. Ornosa","2011",NA,"1obrera","UCME"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1obrera","UCME"
"Bombus","Thoracobombus","ruderarius","Crta La Molina",NA,"Gerona",NA,"25-VII-2009",NA,NA,NA,"C. Ornosa","C. Ornosa","2009",NA,NA,NA
"Bombus","Thoracobombus","ruderarius","Crta La Molina",NA,"Gerona",NA,"25-VII-2009",NA,NA,NA,"C. Ornosa","C. Ornosa","2009",NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 obrera","UCME"
"Bombus","Thoracobombus","ruderarius","Subida Cascada Estany Ratera","PN. Aigüestortes","Lérida",NA,"26-VII-2006",NA,NA,NA,"C. Ornosa","C. Ornosa","2006",NA,"1 obrera","UCME"
"Bombus","Thoracobombus","ruderarius","Subida Cascada Estany Ratera","PN. Aigüestortes","Lérida",NA,"26-VII-2007",NA,NA,NA,"C. Ornosa","C. Ornosa","2006",NA,"1 obrera","UCME"
"Bombus ","Alpigenobombus","wurfleinii","Nuria, Bosc de la Verge",NA,"Gerona","España","24-VII-2009","2000 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Alpigenobombus","wurfleinii","La Molina. Roc Blanco",NA,"Gerona","España","25-VII-2009","1650 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Alpigenobombus","wurfleinii","Gradas de Soaso","P.N. Ordesa","Huesca","España","4-VII-2006","1700 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Alpigenobombus","wurfleinii","Puerto de la Magdalena",NA,"León","España","18-21-VI-2008","1435 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Alpigenobombus","wurfleinii","Puerto de las Señales",NA,"León","España","18-21-VI-2008","1490 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrera","UCME"
"Psithyrus","Ashtonipsithyrus","bohemicus","Liñares","Sierra del Caurel","Lugo","España","3-IX-2010",NA,NA,NA,"R. Outerelo","C. Ornosa","2010",1,NA,"UCME"
"Psithyrus","Psithyrus","rupestris","Liñares","Sierra del Caurel","Lugo","España","3-IX-2010",NA,NA,NA,"R. Outerelo","C. Ornosa","2010",1,NA,"UCME"
"Bombus","Thoracobombus","sylvarum","Camijanes",NA,"Cantabria","España","18-IX-2010",NA,"43º20´805´´N 4º29´305´´W",NA,"C. Ornosa","C. Ornosa","2010",NA," reina pequeña","UCME"
"Bombus","Thoracobombus","pascuorum","Rionansa",NA,"Cantabria","España","18-IX-2010",NA,NA,NA,"C. Ornosa","C. Ornosa","2010",NA,"1 obrera","UCME"
"Bombus","Kallobombus","soroeensis","Pto. Piedrasluengas",NA,"Palencia","España","19-IX-2008","1355",NA,NA,"C. Ornosa","C. Ornosa","2010",NA,"1 obrera","UCME"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C. Ornosa",NA,NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris","Veleta","PN Sierra Nevada","Granada","España","24-VII-2012","3.210 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris","Veleta","PN Sierra Nevada","Granada","España","24-VII-2012","3.210 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Bombus","terrestris","Veleta","PN Sierra Nevada","Granada","España","24-VII-2012","3.210 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrera","UCME"
