Genus;Species;Subspecies;Country;Province;Locality;Latitude;Longitude;Coordinate.precision;Year;Month;Day;Collector;Determined.by;Female;Male;Worker;Not.specified;Reference.doi;Flowers.visited;Local_ID;Authors.to.give.credit;Any.other.additional.data;Notes.and.queries
Lasioglossum ;malachurum;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2015;7;22;C. Azpiazu;J.Ortiz;0;1;0;0;10.3390/insects11010066;Cucumis melo;NA;C. Azpiazu;NA;NA
Lasioglossum ;malachurum;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2015;7;17;C. Azpiazu;J.Ortiz;0;1;0;0;10.3390/insects11010066;Cucumis melo;NA;C. Azpiazu;NA;NA
Lasioglossum ;malachurum;NA;Spain;Madrid;Madrid;40.445451;-3.738718;GPS;2015;7;10;C. Azpiazu;J.Ortiz;0;1;0;0;NA;Foeniculum vulgare;NA;C. Azpiazu;NA;NA
Lasioglossum ;malachurum;NA;Spain;Madrid;Madrid;40.445451;-3.738718;GPS;2015;5;20;C. Azpiazu;J.Ortiz;1;0;0;0;NA;Coriandrum sativum;NA;C. Azpiazu;NA;NA
Lasioglossum ;malachurum;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;7;26;C. Azpiazu;J.Ortiz;1;0;0;0;10.3390/insects11010066;NA;NA;C. Azpiazu;NA;NA
Lasioglossum ;malachurum;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;5;29;C. Azpiazu;J.Ortiz;1;0;0;0;10.3390/insects11010066;Diplotaxis;NA;C. Azpiazu;NA;NA
Lasioglossum ;minutulum;NA;Spain;Toledo;Corral de Almaguer;39.671802;-3.181465;GPS;2015;7;23;C. Azpiazu;J.Ortiz;1;0;0;0;10.3390/insects11010066;Cucumis melo;NA;C. Azpiazu;NA;NA
Lasioglossum ;minutulum;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;7;30;C. Azpiazu;J.Ortiz;1;0;0;0;10.3390/insects11010066;NA;NA;C. Azpiazu;NA;NA
Lasioglossum ;minutulum;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2015;7;14;C. Azpiazu;J.Ortiz;1;0;0;0;10.3390/insects11010066;Cucumis melo;NA;C. Azpiazu;NA;NA
Lasioglossum ;minutulum;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;6;28;C. Azpiazu;J.Ortiz;1;0;0;0;10.3390/insects11010066;NA;NA;C. Azpiazu;NA;NA
Lasioglossum ;nigripes;NA;Spain;Toledo;Corral de Almaguer;39.671802;-3.181465;GPS;2015;7;23;C. Azpiazu;J.Ortiz;1;0;0;0;10.3390/insects11010066;Calendula officinalis;NA;C. Azpiazu;NA;NA
Lasioglossum ;nigripes;NA;Spain;Toledo;Corral de Almaguer;39.671802;-3.181465;GPS;2015;7;23;C. Azpiazu;J.Ortiz;1;0;0;0;10.3390/insects11010066;Cucumis melo;NA;C. Azpiazu;NA;NA
Lasioglossum ;pygmaeum;NA;Spain;Toledo;Corral de Almaguer;39.671802;-3.181465;GPS;2015;7;23;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Cucumis melo;NA;C. Azpiazu;NA;NA
Lasioglossum ;pygmaeum;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2015;6;29;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Cucumis melo;NA;C. Azpiazu;NA;NA
Lasioglossum ;pygmaeum;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2015;7;3;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Borago officinalis;NA;C. Azpiazu;NA;NA
Megachile; apicalis;NA;Spain;Madrid;Madrid;40.445451;-3.738718;GPS;2014;6;17;C. Azpiazu;O. Aguado;0;1;0;0;NA;NA;NA;C. Azpiazu;NA;NA
Megachile; pilidens;NA;Spain;Toledo;Corral de Almaguer;39.665028;-3.20475;GPS;2014;6;18;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;NA;NA;C. Azpiazu;NA;NA
Megachile; pilidens;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;8;20;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Calendula officinalis;NA;C. Azpiazu;NA;NA
Megachile ;versicolor ;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;8;20;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Calendula officinalis;NA;C. Azpiazu;NA;NA
Megachile ;versicolor ;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;7;5;C. Azpiazu;O. Aguado;0;1;0;0;10.3390/insects11010066;Calendula officinalis;NA;C. Azpiazu;NA;NA
Nomiapis ;diversipes;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;7;3;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Borago officinalis;NA;C. Azpiazu;NA;NA
Panurgus ; banksianus;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2015;6;3;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Calendula officinalis;NA;C. Azpiazu;NA;NA
Panurgus ; banksianus;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2015;6;26;C. Azpiazu;O. Aguado;0;1;0;0;10.3390/insects11010066;Calendula officinalis;NA;C. Azpiazu;NA;NA
Panurgus ;calcaratus ;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;6;20;C. Azpiazu;J.Ortiz;0;1;0;0;10.3390/insects11010066;NA;NA;C. Azpiazu;NA;NA
Panurgus ;calcaratus ;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;7;11;C. Azpiazu;J.Ortiz;0;1;0;0;10.3390/insects11010066;NA;NA;C. Azpiazu;NA;NA
Panurgus ;canescens ;NA;Spain;Madrid;Madrid;40.445451;-3.738718;GPS;2015;6;18;C. Azpiazu;O. Aguado;1;0;0;0;NA;Foeniculum vulgare;NA;C. Azpiazu;NA;NA
Panurgus ;canescens ;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;7;5;C. Azpiazu;O. Aguado;0;1;0;0;10.3390/insects11010066;NA;NA;C. Azpiazu;NA;NA
Panurgus ;canescens ;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;6;28;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;NA;NA;C. Azpiazu;NA;NA
Panurgus ;canescens ;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;7;5;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;NA;NA;C. Azpiazu;NA;NA
Panurgus ;canescens ;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;6;28;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;NA;NA;C. Azpiazu;NA;NA
Pseudapis ;bispinosa;NA;Spain;Toledo;Corral de Almaguer;39.665028;-3.20475;GPS;2014;5;29;C. Azpiazu;O. Aguado;0;1;0;0;10.3390/insects11010066;Coriandrum sativum;NA;C. Azpiazu;NA;NA
Pseudapis ;bispinosa;NA;Spain;Toledo;Corral de Almaguer;39.665028;-3.20475;GPS;2014;6;18;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Calendula officinalis;NA;C. Azpiazu;NA;NA
Pseudapis ;bispinosa;NA;Spain;Toledo;Corral de Almaguer;39.665028;-3.20475;GPS;2014;6;25;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;MF;NA;C. Azpiazu;NA;NA
Pseudapis ;bispinosa;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2015;6;17;C. Azpiazu;O. Aguado;0;1;0;0;10.3390/insects11010066;Calendula officinalis;NA;C. Azpiazu;NA;NA
Pseudapis ;bispinosa;NA;Spain;Madrid;Madrid;40.445451;-3.738718;GPS;2015;7;24;C. Azpiazu;O. Aguado;0;1;0;0;NA;Mentha suaveolens ;NA;C. Azpiazu;NA;NA
Pseudoanthidium ;melanurum;NA;Spain;Madrid;Madrid;40.445451;-3.738718;GPS;2015;NA;NA;C. Azpiazu;O. Aguado;1;0;0;0;NA;Salvia officinalis;NA;C. Azpiazu;NA;NA
Sphecodes ;albilabris;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2015;6;29;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Calendula officinalis;NA;C. Azpiazu;NA;NA
Sphecodes ;croaticus;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2013;7;5;C. Azpiazu;J.Ortiz;1;0;0;0;10.3390/insects11010066;NA;NA;C. Azpiazu;NA;NA
Sphecodes ;gibbus;NA;Spain;Madrid;Arganda del Rey;40.317161;-3.485901;GPS;2014;5;16;C. Azpiazu;O. Aguado;1;0;0;0;10.3390/insects11010066;Calendula officinalis;NA;C. Azpiazu;NA;NA
