"Género","Subgén","Especie","Localidad","Municipio","Provincia","País","Fecha.capt","Colector","Identificador","Año.ident","Machos","Hembras","Proced/caja"
"Anthophora",NA,"plumipes","Torcal de Antequera",NA,"Málaga","España","26-V-2012","JL Blanco","JL Blanco/C. Ornosa",2012,1,NA,"UCME"
"Anthophora",NA,"crassipes","Sierra de Cazorla",NA,"Jaén","España","24-V-2012","JL Blanco","JL Blanco/C. Ornosa",2012,NA,"1","UCME"
"Anthophora",NA,"agama","Sierra de Cazorla",NA,"Jaén","España","24-V-2012","JL Blanco","JL Blanco/C. Ornosa",2012,NA,"1","UCME"
"Anthophora",NA,"agama","Sierra de Cazorla",NA,"Jaén","España","24-V-2012","JL Blanco","JL Blanco/C. Ornosa",2012,NA,"1","UCME"
"Anthophora",NA,"agama","Sierra de Cazorla",NA,"Jaén","España","24-V-2012","JL Blanco","JL Blanco/C. Ornosa",2012,1,NA,"UCME"
"Anthophora",NA,"atroalba","Cabra",NA,"Córdoba","España","25-V-2012","JL Blanco","JL Blanco/C. Ornosa",2012,NA,"1","UCME"
"Anthophora",NA,"plagiata","Cabra",NA,"Córdoba","España","25-V-2012","JL Blanco","JL Blanco/C. Ornosa",2012,NA,"1","UCME"
"Anthophora",NA,"plagiata","Cabra",NA,"Córdoba","España","25-V-2012","JL Blanco","JL Blanco/C. Ornosa",2012,NA,"1","UCME"
"Anthophora",NA,"plagiata","Cabra",NA,"Córdoba","España","25-V-2012","JL Blanco","JL Blanco/C. Ornosa",2012,NA,"1","UCME"
"Rhodanthidium",NA,"sticticum","Torcal de Antequera",NA,"Málaga","España","26-V-2012","JL Blanco","JL Blanco/C. Ornosa",2012,1,NA,"UCME"
"Anthidium",NA,"manicatum","Cabra",NA,"Córdoba","España","25-V-2012","JL Blanco","JL Blanco/C. Ornosa",2012,NA,"1","UCME"
"Osmia",NA,"andrenoides","Zahara de la Sierra",NA,"Cádiz","España","18-V-2012","JL Blanco","JL Blanco/C. Ornosa",2012,NA,"1","UCME"
