"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision.(e.g..Collection.place.within.<XX.radius.of.the.provided.coordinate..For.example:.<10m;.<100m;.<1km;.<10km)","Year","Month","day","Start.date","End.Date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.(doi)","Flowers.visited","COLLECTION","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Andrena",NA,NA,NA,"Portugal","Braga","Santo Estêvão (Briteiros)"," 41.516580"," -8.305029","<1km",2019,5,22,43607,43608,"H. Gaspar","H. Gaspar",1,NA,NA,0,NA,NA,"645 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,NA,NA,"Portugal","Coimbra","Soure","40.044428","-8.599513","<1km",2019,5,1,43586,43587,"H. Gaspar","H. Gaspar",1,NA,NA,0,NA,NA,"759 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,NA,NA,"Portugal","Leiria","Vérigo","39.942774","-8.58137","<1km",2019,3,2,43526,43526,"H.Gaspar","H. Gaspar ",NA,1,NA,0,NA,"Asteraceae","372","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,NA,NA,"Portugal","Leiria","Vérigo ","39.94191","-8.58168","<1km",2019,3,29,43553,43553,"H.Gaspar","H. Gaspar ",NA,1,NA,0,NA,NA,"413","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Anthidiellum",NA,"Anthidiellum strigatum ",NA,"Portugal","Leiria","Vérigo","39.942339"," -8.581601","<1km",2019,7,5,43651,43651,"H.Gaspar","H. Gaspar ",1,NA,NA,0,NA,"Myrtus communis ","504","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Anthidium",NA,"Anthidium manicatum",NA,"Portugal","Porto","Guilhabreu","41.290484","-8.649053","<1km",2019,5,22,43607,43608,"H. Gaspar","H. Gaspar",1,NA,NA,0,NA,NA,"346 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Anthidium",NA,"Anthidium manicatum",NA,"Portugal","Aveiro","Eixo e Eirol","40.598941"," -8.543732","<1km",2019,10,7,43745,43746,"H. Gaspar","H. Gaspar",NA,1,NA,0,NA,NA,"846 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Anthophora",NA,"Anthophora aestivalis",NA,"Portugal","Aveiro","Silva Escura","40.794095","-8.368753","<1km",2019,4,30,43585,43586,"H. Gaspar","H. Gaspar",NA,1,NA,0,NA,NA,"248 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Anthophora",NA,"Anthophora aestivalis",NA,"Portugal","Leiria","Vérigo","39.94301"," -8.582221","<1km",2019,2,19,43515,43515,"H.Gaspar","H. Gaspar ",NA,1,NA,0,NA,"Fumaria sp.","357","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Anthophora",NA,"Anthophora aestivalis",NA,"Portugal","Leiria","Vérigo","39.942014"," -8.582419","<1km",2019,4,20,43575,43575,"H.Gaspar","H. Gaspar ",1,NA,NA,0,NA,NA,"431","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
