Genus,species,subspecies,year,latitude,longitude
Bombus,jonellus,,2017,43.03571,-6.03196
Bombus,jonellus,,2017,43.03571,-6.03196
Bombus,jonellus,,2017,43.03571,-6.03196
Bombus,jonellus,,2017,43.03571,-6.03196
Bombus,jonellus,,2017,43.22499,-6.02173
Bombus,jonellus,,2017,43.22499,-6.02173
Bombus,jonellus,,2017,43.22499,-6.02173
Bombus,jonellus,,2017,43.22499,-6.02173
Bombus,jonellus,,2017,43.22499,-6.02173
Bombus,jonellus,,2017,43.24846,-6.01856
Bombus,jonellus,,2017,43.24846,-6.01856
Bombus,jonellus,,2017,43.24846,-6.01856
Bombus,jonellus,,2017,43.24846,-6.01856
Bombus,jonellus,,2017,43.24846,-6.01856
Bombus,jonellus,,2017,43.24846,-6.01856
Bombus,jonellus,,2017,43.22653,-6.01735
Bombus,jonellus,,2017,43.22653,-6.01735
Bombus,jonellus,,2017,43.22653,-6.01735
Bombus,jonellus,,2017,43.22653,-6.01735
Bombus,jonellus,,2017,43.22653,-6.01735
Bombus,jonellus,,2017,43.22653,-6.01735
Bombus,jonellus,,2017,43.44191,-6.01603
Bombus,jonellus,,2017,43.44191,-6.01603
Bombus,jonellus,,2017,43.44191,-6.01603
Bombus,jonellus,,2017,43.44191,-6.01603
Bombus,jonellus,,2017,43.44191,-6.01603
Bombus,jonellus,,2017,43.44191,-6.01603
Bombus,jonellus,,2018,43.12654,-6.00935
Bombus,jonellus,,2018,43.12654,-6.00935
Bombus,laesus,,2018,43.12654,-6.00935
Bombus,laesus,,2018,43.12654,-6.00935
Bombus,laesus,,2018,43.12654,-6.00935
Bombus,laesus,,2018,43.12654,-6.00935
Bombus,lapidarius,,2017,43.46381,-5.99707
Bombus,lapidarius,,2017,43.46381,-5.99707
Bombus,lapidarius,,2017,43.46381,-5.99707
Bombus,lapidarius,,2017,43.46381,-5.99707
Bombus,lapidarius,,2017,43.46381,-5.99707
Bombus,lapidarius,,2017,43.46381,-5.99707
Bombus,lapidarius,,2017,43.01705,-5.95721
Bombus,lapidarius,,2017,43.01859,-5.95643
Bombus,lapidarius,,2018,43.01283,-5.95641
Bombus,lapidarius,,2018,43.01283,-5.95641
Bombus,lapidarius,,2018,43.01283,-5.95641
