"","flag","checked","synonym_names","questionable","accepted_name","accepted_subspecies","Notes"
"1779","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1780","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1781","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1782","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1783","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1784","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1785","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1786","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1787","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1788","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1789","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1790","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1791","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1792","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1793","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1794","Colletes dimidiatus",NA,NA,NA,NA,NA,NA
"1882","Colletes jansmiti",NA,NA,NA,NA,NA,NA
"1883","Colletes moricei",NA,NA,NA,NA,NA,NA
"1884","Colletes moricei",NA,NA,NA,NA,NA,NA
"1885","Colletes moricei",NA,NA,NA,NA,NA,NA
"1886","Colletes moricei",NA,NA,NA,NA,NA,NA
"1887","Colletes moricei",NA,NA,NA,NA,NA,NA
"1888","Colletes moricei",NA,NA,NA,NA,NA,NA
"1889","Colletes moricei",NA,NA,NA,NA,NA,NA
"1890","Colletes moricei",NA,NA,NA,NA,NA,NA
"1891","Colletes moricei",NA,NA,NA,NA,NA,NA
"1892","Colletes moricei",NA,NA,NA,NA,NA,NA
"1893","Colletes moricei",NA,NA,NA,NA,NA,NA
"1894","Colletes moricei",NA,NA,NA,NA,NA,NA
"1895","Colletes moricei",NA,NA,NA,NA,NA,NA
"1896","Colletes moricei",NA,NA,NA,NA,NA,NA
"1897","Colletes moricei",NA,NA,NA,NA,NA,NA
"1898","Colletes perezi",NA,NA,NA,NA,NA,NA
"1899","Colletes perezi",NA,NA,NA,NA,NA,NA
"1900","Colletes perezi",NA,NA,NA,NA,NA,NA
"1927","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1928","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1929","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1930","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1931","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1932","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1933","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1934","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1935","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1936","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1937","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1938","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1939","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1940","Dioxys cinta",NA,NA,NA,NA,NA,NA
"1959","Dioxys tridentata",NA,NA,NA,NA,NA,NA
"1961","Dufourea maura",NA,NA,NA,NA,NA,NA
"1962","Dufourea maura",NA,NA,NA,NA,NA,NA
"1963","Dufourea minta",NA,NA,NA,NA,NA,NA
"1973","Eucera berlandi",NA,NA,NA,NA,NA,NA
"1974","Eucera berlandi",NA,NA,NA,NA,NA,NA
"1975","Eucera berlandi",NA,NA,NA,NA,NA,NA
"1976","Eucera berlandi",NA,NA,NA,NA,NA,NA
"1977","Eucera berlandi",NA,NA,NA,NA,NA,NA
"1978","Eucera berlandi",NA,NA,NA,NA,NA,NA
"1979","Eucera berlandi",NA,NA,NA,NA,NA,NA
"1980","Eucera berlandi",NA,NA,NA,NA,NA,NA
"2036","Eucera gracillipes",NA,NA,NA,NA,NA,NA
"2037","Eucera gracillipes",NA,NA,NA,NA,NA,NA
"2044","Eucera lanuginosus",NA,NA,NA,NA,NA,NA
"2045","Eucera lanuginosus",NA,NA,NA,NA,NA,NA
"2046","Eucera lanuginosus",NA,NA,NA,NA,NA,NA
"2047","Eucera lanuginosus",NA,NA,NA,NA,NA,NA
"2048","Eucera maroccana",NA,NA,NA,NA,NA,NA
"2049","Eucera nigrencens",NA,NA,NA,NA,NA,NA
"2069","Halictus asperellus",NA,NA,NA,NA,NA,NA
"2099","Halictus cremicornis",NA,NA,NA,NA,NA,NA
"2100","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2101","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2102","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2103","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2104","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2105","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2106","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2107","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2108","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2109","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2110","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2111","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2112","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2113","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2114","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2115","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2116","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2117","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2118","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2119","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2120","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2121","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2122","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2123","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2124","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2125","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2126","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2127","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2128","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2129","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2130","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2131","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2132","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2133","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2134","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2135","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2136","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2137","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2138","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2139","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2140","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2141","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2142","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2143","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2144","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2145","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2146","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2147","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2148","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2149","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2150","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2151","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2152","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2153","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2154","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2155","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2156","Halictus frontalis",NA,NA,NA,NA,NA,NA
"2157","Halictus gemmea",NA,NA,NA,NA,NA,NA
"2158","Halictus gemmea",NA,NA,NA,NA,NA,NA
"2159","Halictus gemmea",NA,NA,NA,NA,NA,NA
"2160","Halictus gemmea",NA,NA,NA,NA,NA,NA
"2161","Halictus gemmea",NA,NA,NA,NA,NA,NA
"2162","Halictus gemmella",NA,NA,NA,NA,NA,NA
"2163","Halictus gemmella",NA,NA,NA,NA,NA,NA
"2164","Halictus gemmella",NA,NA,NA,NA,NA,NA
"2165","Halictus gemmella",NA,NA,NA,NA,NA,NA
"2166","Halictus gemmella",NA,NA,NA,NA,NA,NA
"2167","Halictus gemmella",NA,NA,NA,NA,NA,NA
"2168","Halictus gemmella",NA,NA,NA,NA,NA,NA
"2169","Halictus gemmella",NA,NA,NA,NA,NA,NA
"2170","Halictus gemmella",NA,NA,NA,NA,NA,NA
"2171","Halictus gemmella",NA,NA,NA,NA,NA,NA
"2172","Halictus gemmella",NA,NA,NA,NA,NA,NA
"2173","Halictus gemmella",NA,NA,NA,NA,NA,NA
"2174","Halictus gemmella",NA,NA,NA,NA,NA,NA
"2175","Halictus gemmella",NA,NA,NA,NA,NA,NA
"2179","Halictus pauxillum",NA,NA,NA,NA,NA,NA
"2519","Halictus sacabiosae",NA,NA,NA,NA,NA,NA
"2520","Halictus seladonia",NA,NA,NA,NA,NA,NA
"2521","Halictus similar",NA,NA,NA,NA,NA,NA
"2522","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2523","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2524","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2525","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2526","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2527","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2528","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2529","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2530","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2531","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2532","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2533","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2534","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2535","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2536","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2537","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2538","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2539","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2540","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2541","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2542","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2543","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2544","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2545","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2546","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2547","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2548","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2549","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2550","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2551","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2552","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2553","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2554","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2555","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2556","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2557","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2558","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2559","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2560","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2561","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2562","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2563","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2564","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2565","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2566","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2567","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2568","Halictus subaurata",NA,NA,NA,NA,NA,NA
"2569","Halictus subaurata",NA,NA,NA,NA,NA,NA
