Family;Genus;Species;Subspecies;Authority;Notes
Apidae;Epeolus;cruciger;NA;(Panzer, 1799);NA
Apidae;Epeolus;fallax;NA;Morawitz, 1872;NA
Apidae;Epeolus;fasciatus;NA;Friese, 1895;NA
Apidae;Epeolus;ibericus;NA;Bogusch, 2018;NA
Apidae;Epeolus;intermedius;NA;Pérez 1884;NA
Apidae;Epeolus;productulus;NA;Bischoff, 1930;NA
Apidae;Epeolus;transitorius;NA;Eversmann, 1852;A. julliani is synonym, listed by Ortiz-Sanchez
Apidae;Epeolus;variegatus;NA;(Linnaeus, 1758);NA
Apidae;Eucera;alternans;NA;(Brullé, 1832);NA
Apidae;Eucera;barbiventris;NA;Pérez, 1902;NA
Apidae;Eucera;brachycera;NA;Gribodo, 1893;NA
Apidae;Eucera;caspica;NA;Morawitz, 1873;NA
Apidae;Eucera;chrysopyga;NA;Pérez, 1879;NA
Apidae;Eucera;cinctella;NA;(Saunders, 1908);NA
Apidae;Eucera;cineraria;NA;Eversmann, 1852;NA
Apidae;Eucera;clypeata;NA;Erichson, 1835;NA
Apidae;Eucera;codinai;NA;Dusmet, 1926;NA
Apidae;Eucera;collaris;NA;Dours, 1873;NA
Apidae;Eucera;commixta;NA;(Dalla Torre & Friese, 1894);NA
Apidae;Eucera;dalmatica;NA;Lepeletier, 1841;NA
Apidae;Eucera;decolorata;NA;Gribodo, 1924;NA
Apidae;Eucera;dentata;NA;(Germar, 1839);NA
Apidae;Eucera;elongatula;NA;Vachal, 1907;NA
Apidae;Eucera;eucnemidea;NA;Dours, 1873;NA
Apidae;Eucera;fulvescens;NA;(Giraud, 1863);NA
Apidae;Eucera;graja;NA;(Eversmann, 1852);NA
Apidae;Eucera;hispaliensis;NA;Pérez, 1902;NA
Apidae;Eucera;hispana;NA;Lepeletier, 1841;NA
Apidae;Eucera;hungarica;NA;Friese, 1896;NA
Apidae;Eucera;iberica;NA;(Dusmet, 1926);NA
Apidae;Eucera;interrupta;NA;Bär, 1850;NA
Apidae;Eucera;julliani;NA;(Pérez, 1879);NA
Apidae;Eucera;longicornis;NA;(Linnaeus, 1758);NA
Apidae;Eucera;malvae;NA;(Rossi, 1790);NA
Apidae;Eucera;nana;NA;(Morawitz, 1873);NA
Apidae;Eucera;nigrescens;NA;Pérez, 1879;NA
Apidae;Eucera;nigrifacies;NA;Lepeletier, 1841;NA
Apidae;Eucera;nigrilabris;NA;Lepeletier, 1841;NA
Apidae;Eucera;notata;NA;Lepeletier, 1841;NA
Apidae;Eucera;numida;NA;Lepeletier, 1841;NA
Apidae;Eucera;obliterata;NA;Pérez, 1895;NA
Apidae;Eucera;oraniensis;NA;Lepeletier, 1841;NA
Apidae;Eucera;pannonica;NA;Mocsáry, 1878;NA
Apidae;Eucera;pollinosa;NA;(Lepeletier, 1841);NA
Apidae;Eucera;proxima;NA;Morawitz, 1875;E. graeca Radoszkowski, 1876 is a synonym, listed by Ortiz-Sanchez
Apidae;Eucera;quilisi;NA;(Dusment, 1926);NA
Apidae;Eucera;rufa;NA;(Lepeletier, 1841);NA
Apidae;Eucera;ruficornis;NA;(Fabricius, 1804);NA
Apidae;Eucera;salicariae;NA;(Lepeletier, 1841);NA
Apidae;Eucera;strigata;NA;(Lepeletier, 1841);NA
Apidae;Eucera;taurica;NA;Morawitz, 1871;NA
Apidae;Eucera;tricincta;NA;Erichson, 1835;NA
Apidae;Eucera;vulpes;NA;Brullé, 1832;NA
