Genus;Subgenus;Species;Locality;Municipe;Province;Country;Date;Start.date;End.date;Altitud;UTM;Collector;Determined.by;Year.ident;Male;Female;Proced/caja;Notes.and.queries;
Chalicodoma;NA;sicula ;Las Cuevas de los Medinas;Almería;Almería;España;03-04-2011;NA;NA;NA;NA;J. Ortiz;J. Ortiz;2011;NA;1;Almería/UCME;NA;
Osmia;NA;latrillei;Las Cuevas de los Medinas;Almería;Almería;España;03-04-2011;NA;NA;NA;NA;J. Ortiz;F. Torres;2011;1; ;Almería/UCME;NA;
Osmia;NA;ferruginea;Las Cuevas de los Medinas;Almería;Almería;España;03-04-2011;NA;NA;NA;NA;J. Ortiz;F. Torres;2011;NA;1;Almería/UCME;NA;
Osmia;NA;tricornis;Las Cuevas de los Medinas;Almería;Almería;España;03-04-2011;NA;NA;NA;NA;J. Ortiz;F. Torres;2011;NA;1;Almería/UCME;NA;
Osmia;NA;tricornis;Las Cuevas de los Medinas;Almería;Almería;España;03-04-2011;NA;NA;NA;NA;J. Ortiz;F. Torres;2011;NA;1;Almería/UCME;NA;
Stelis;NA;punctulatissima;Fuente Chirrichana;Cofrentes;Valencia;España;17-06-2011;NA;NA;630;30SXJ6650;J. Ortiz;C. Ornosa;2011;NA;1;Almería/UCME;NA;
Anthidiellum;NA;strigatum;Fuente Chirrichana;Cofrentes;Valencia;España;17-06-2011;NA;NA;630;30SXJ6650;J. Ortiz;C. Ornosa;2011;1;NA;Almería/UCME;NA;
Anthidium;NA;cingulatum;Casa de Postas;Buñol ;Valencia;España;17-06-2011;NA;NA;600;30SXJ8369;J. Ortiz;C. Ornosa;2111;NA;1;Almería;NA;
Anthidiellum;NA;strigatum;Casa de Postas;Buñol;Valencia;España;17-06-2011;NA;NA;600;30SXJ8369;J. Ortiz;C. Ornosa;2111;1; ;Almería/UCME;NA;
Anthidiellum;NA;strigatum;Casa de Postas;Buñol;Valencia;España;17-06-2011;NA;NA;600;30SXJ8369;J. Ortiz;C. Ornosa;2111;NA;1;Almería;NA;
Rhodanthidium;NA;septemdentatum;Casa de Postas;Buñol;Valencia;España;17-06-2011;NA;NA;600;30SXJ8369;J. Ortiz;C. Ornosa;2011;NA;1;Almería;NA;
Rhodanthidium;NA;septemdentatum;Peñas de Dios;Higueruelas;Valencia;España;18-06-2011;NA;NA;1060;30SXK8008;J. Ortiz;C. Ornosa;2011;1;NA;Almería;NA;
Rhodanthidium;NA;septemdentatum;Peñas de Dios;Higueruelas;Valencia;España;18-06-2011;NA;NA;1060;30SXK8008;J. Ortiz;C. Ornosa;2011;NA;1;Almería;NA;
Trachusa;NA;laticeps;Puente Alta, río Turia;Calles;Valencia;España;18-06-2011;NA;NA;350;30SXJ7195;J. Ortiz;C. Ornosa;2011;NA;1;Almería;NA;
Rhodanthidium;NA;septemdentatum;Puente Alta, río Turia;Calles;Valencia;España;18-06-2011;NA;NA;350;30SXJ7195;J. Ortiz;C. Ornosa;2011;1;NA;Almería;NA;
Rhodanthidium;NA;septemdentatum;Puente Alta, río Turia;Calles;Valencia;España;18-06-2011;NA;NA;350;30SXJ7195;J. Ortiz;C. Ornosa;2011;1;NA;Almería;NA;
Anthidium;NA;florentinum;Fuente la Losa;Calles;Valencia;España;18-06-2011;NA;NA;510;30SXK7600;J. Ortiz;C. Ornosa;2011;NA;1;Almería;NA;
Trachusa;NA;interrupta;La Tartalona;Tuéjar;Valencia;España;18-06-2011;NA;NA;730;30SXK6205;J. Ortiz;C. Ornosa;2011;1;NA;Almería;NA;
Rhodanthidium;NA;septemdentatum;La Tartalona;Tuéjar;Valencia;España;18-06-2011;NA;NA;730;30SXK6205;J. Ortiz;C. Ornosa;2011;1;NA;Almería;NA;
Coelioxys;Coelioxys;conoidea;La Tartalona;Tuéjar;Valencia;España;18-06-2011;NA;NA;730;30SXK6205;J. Ortiz;J. Ortiz;2011;NA;1;Almería;NA;
Anthidium;NA;loti;Finca Contreras, Hoces del Cabriel;Minglanilla;Cuenca;España;19-06-2011;NA;NA;650;30SXJ2877;J. Ortiz;C. Ornosa;2011;1;NA;Almería;NA;
Anthidium;NA;florentinum;Finca Contreras, Hoces del Cabriel;Minglanilla;Cuenca;España;19-06-2011;NA;NA;650;30SXJ2877;J. Ortiz;C. Ornosa;2011;1;NA;Almería;NA;
Stelis;NA;signata;Presa Contreras, Hoces del Cabriel;Villargordo del Cabriel;Valencia;España;19-06-2011;NA;NA;680;30SXJ2877;J. Ortiz;C. Ornosa;2011;NA;1;Almería;NA;
Coelioxys;Allocoelioxys;afra;Presa Contreras, Hoces del Cabriel;Villargordo del Cabriel;Valencia;España;19-06-2011;NA;NA;680;30SXJ2877;J. Ortiz;J. Ortiz;2011;1;NA;Almería;NA;
Rhodanthidium;NA;septemdentatum;Presa Contreras, Hoces del Cabriel;Villargordo del Cabriel;Valencia;España;19-06-2011;NA;NA;680;30SXJ2877;J. Ortiz;C. Ornosa;2011;NA;1;Almería;NA;
