"Genus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision.(e.g..Collection.place.within.<XX.radius.of.the.provided.coordinate..For.example:.<10m;.<100m;.<1km;.<10km)","Year","Month","day","Start.date","End.Date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.(doi)","Flowers.visited","Collection.Location_ID","Authors.to.give.credit","Authors.to.give.credit","Authors.to.give.credit","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Andrena","ovatula ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,6,28,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Teucrium capitatum","SB-2559","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Ceylalictus","variegatus ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,6,28,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Rubus ulmifolius","SB-2590","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Ceylalictus","variegatus ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,6,28,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Rubus ulmifolius","SB-2592","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Ceylalictus","variegatus ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,6,28,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,1,0,0,"10.1111/1365-2745.13402","Rubus ulmifolius","SB-2593","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Lasioglossum","malachurum ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,6,28,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,1,0,0,"10.1111/1365-2745.13402","Teucrium capitatum","SB-2604","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Heriades","rubicola ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,6,28,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Helichrysum stoechas","SB-2620","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Hoplitis","leucomelana ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,6,28,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Lotus cytisoides","SB-2625","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Hylaeus","pictus ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,7,4,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,0,0,1,"10.1111/1365-2745.13402","Rubus ulmifolius","SB-2235","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Hylaeus","annularis ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,7,4,NA,NA,"A. Lázaro","D. Baldock",1,0,0,0,"10.1111/1365-2745.13402","Daucus carota","SB-2252","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Heriades","rubicola ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,7,4,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,1,0,0,"10.1111/1365-2745.13402","Convolvulus arvensis","SB-2276","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Ceylalictus","variegatus ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,7,4,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,1,0,0,"10.1111/1365-2745.13402","Foeniculum vulgare","SB-2594","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Halictus","fulvipes ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,7,4,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,1,0,0,"10.1111/1365-2745.13402","Scabiosa atropurpurea","SB-2599","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Halictus","fulvipes ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,7,4,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,1,0,0,"10.1111/1365-2745.13402","Scabiosa atropurpurea","SB-2600","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Lasioglossum","punctatissimum ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,7,4,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Potentilla reptans","SB-2616","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Ceratina","parvula ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,7,12,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Cichorium intybus","SB-2227","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Hylaeus","pictus ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,7,12,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,0,0,1,"10.1111/1365-2745.13402","Rubus ulmifolius","SB-2230","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Hylaeus","pictus ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,7,12,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,0,0,1,"10.1111/1365-2745.13402","Rubus ulmifolius","SB-2231","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Hylaeus","pictus ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,7,12,NA,NA,"D. Alomar","M. A. González-Estévez (M. A. G. Estvz)",0,0,0,1,"10.1111/1365-2745.13402","Rubus ulmifolius","SB-2234","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Hylaeus","clypearis ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,7,12,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Foeniculum vulgare","SB-2247","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Ceylalictus","variegatus ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,7,12,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Rubus ulmifolius","SB-2256","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Ceylalictus","variegatus ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,7,12,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Rubus ulmifolius","SB-2257","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Halictus","scabiosae ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,7,12,NA,NA,"D. Alomar","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Foeniculum vulgare","SB-2263","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Halictus","scabiosae ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,7,12,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,1,0,0,"10.1111/1365-2745.13402","Scabiosa atropurpurea","SB-2264","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Lasioglossum","malachurum ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,7,12,NA,NA,"D. Alomar","M. A. González-Estévez (M. A. G. Estvz)",0,1,0,0,"10.1111/1365-2745.13402","Foeniculum vulgare","SB-2270","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Heriades","rubicola ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,7,12,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,1,0,0,"10.1111/1365-2745.13402","Cichorium intybus","SB-2278","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Ceratina","cucurbitina ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,7,12,NA,NA,"D. Alomar","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Rubus ulmifolius","SB-2575","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Hylaeus","clypearis ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,7,12,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Foeniculum vulgare","SB-2585","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Halictus","scabiosae ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,7,12,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Scabiosa atropurpurea","SB-2595","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Halictus","fulvipes ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,7,12,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,1,0,0,"10.1111/1365-2745.13402","Scabiosa atropurpurea","SB-2596","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Halictus","fulvipes ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,7,12,NA,NA,"D. Alomar","M. A. González-Estévez (M. A. G. Estvz)",0,1,0,0,"10.1111/1365-2745.13402","Scabiosa atropurpurea","SB-2597","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Halictus","fulvipes ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,7,12,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,1,0,0,"10.1111/1365-2745.13402","Scabiosa atropurpurea","SB-2598","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Halictus","fulvipes ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,7,12,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,1,0,0,"10.1111/1365-2745.13402","Scabiosa atropurpurea","SB-2601","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Lasioglossum"," punctatissimum ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,7,12,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,1,0,0,"10.1111/1365-2745.13402","Scabiosa atropurpurea","SB-2618","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Hylaeus","clypearis ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,7,22,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,1,0,0,"10.1111/1365-2745.13402","Daucus carota","SB-2244","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Heriades","rubicola ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,7,22,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,1,0,0,"10.1111/1365-2745.13402","Foeniculum vulgare","SB-2277","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Heriades","rubicola ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,7,22,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,1,0,0,"10.1111/1365-2745.13402","Teucrium capitatum","SB-2279","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Heriades","rubicola ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,7,22,NA,NA,"D. Alomar","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Teucrium capitatum","SB-2281","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Heriades","rubicola ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,7,22,NA,NA,"D. Alomar","M. A. González-Estévez (M. A. G. Estvz)",0,1,0,0,"10.1111/1365-2745.13402","Teucrium capitatum","SB-2619","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Lasioglossum"," callizonium ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,NA,NA,NA,NA,"unknown","M. A. González-Estévez (M. A. G. Estvz)",0,1,0,0,"10.1111/1365-2745.13402",NA,"SB-2267","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Anthophora","plumipes ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,4,10,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Muscari comosum","SB-3087","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Anthophora","plumipes ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,4,10,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,1,0,0,"10.1111/1365-2745.13402","Muscari comosum","SB-3089","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Anthophora","plumipes ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,4,10,NA,NA,"D. Alomar","M. A. González-Estévez (M. A. G. Estvz)",0,1,0,0,"10.1111/1365-2745.13402","Muscari comosum","SB-3090","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Apis","mellifera",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,4,10,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,0,1,0,"10.1111/1365-2745.13402","Lotus cytisoides","SB-3091","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Apis","mellifera",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,4,10,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,0,1,0,"10.1111/1365-2745.13402","Lotus cytisoides","SB-3092","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Lasioglossum","prasinum ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,4,10,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Orchis robusta","SB-3297","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Anthophora","plumipes ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,4,18,NA,NA,"D. Alomar","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Muscari comosum","SB-3088","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Lasioglossum","malachurum ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,4,18,NA,NA,"D. Alomar","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Sonchus","SB-3242","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Lasioglossum","prasinum ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,4,18,NA,NA,"D. Alomar","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Cistus salviifolius","SB-3296","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Osmia","versicolor ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,4,18,NA,NA,"D. Alomar","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Lotus cytisoides","SB-3383","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Osmia","versicolor ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,4,18,NA,NA,"D. Alomar","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Lotus corniculatus","SB-3386","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Eucera","oraniensis ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,4,24,NA,NA,"D. Alomar","D. Baldock",0,1,0,0,"10.1111/1365-2745.13402","Muscari comosum","SB-3148","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Eucera","oraniensis ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,4,24,NA,NA,"D. Alomar","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Aetheorhiza bulbosa","SB-3149","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Hylaeus","pictus",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,4,24,NA,NA,"D. Alomar","M. A. González-Estévez (M. A. G. Estvz)",0,0,0,1,"10.1111/1365-2745.13402","Potentilla reptans","SB-3159","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Ceylalictus","variegatus ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,4,24,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Sonchus","SB-3212","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Lasioglossum","villosulum ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,4,24,NA,NA,"D. Alomar","D. Baldock",1,0,0,0,"10.1111/1365-2745.13402","Aetheorhiza bulbosa","SB-3237","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Lasioglossum","villosulum ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,4,24,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Lotus corniculatus","SB-3238","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Lasioglossum","callizonium ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,4,24,NA,NA,"D. Alomar","D. Baldock",1,0,0,0,"10.1111/1365-2745.13402","Convolvulus althaeoides","SB-3261","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Heriades","rubicola ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,4,24,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,1,0,0,"10.1111/1365-2745.13402","Lotus corniculatus","SB-3329","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Osmia","versicolor ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,4,24,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Potentilla reptans","SB-3387","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Osmia","versicolor ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,4,24,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,1,0,0,"10.1111/1365-2745.13402","Potentilla reptans","SB-3394","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Osmia","aurulenta ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,4,24,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,1,0,0,"10.1111/1365-2745.13402","Lotus cytisoides","SB-3396","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Osmia","aurulenta ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,4,24,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Lotus cytisoides","SB-3398","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Ceratina","dallatorreana ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,5,3,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Scabiosa atropurpurea","SB-3115","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Ceratina","dallatorreana ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,5,3,NA,NA,"D. Alomar","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Cistus salviifolius","SB-3118","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Colletes","abeillei ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,5,3,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Helichrysum stoechas","SB-3150","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Colletes","abeillei ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,5,3,NA,NA,"A. Lázaro","D. Baldock",0,1,0,0,"10.1111/1365-2745.13402","Helichrysum stoechas","SB-3153","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Hylaeus","pictus",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,5,3,NA,NA,"D. Alomar","M. A. González-Estévez (M. A. G. Estvz)",0,0,0,1,"10.1111/1365-2745.13402","Potentilla reptans","SB-3156","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Hylaeus","pictus",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,5,3,NA,NA,"D. Alomar","M. A. González-Estévez (M. A. G. Estvz)",0,0,0,1,"10.1111/1365-2745.13402","Convolvulus althaeoides","SB-3157","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Hylaeus","pictus",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,5,3,NA,NA,"D. Alomar","M. A. González-Estévez (M. A. G. Estvz)",0,0,0,1,"10.1111/1365-2745.13402","Scabiosa atropurpurea","SB-3160","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Lasioglossum","callizonium ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,5,3,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Sonchus","SB-3262","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Lasioglossum"," punctatissimum ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,5,3,NA,NA,"A. Lázaro","D. Baldock",1,0,0,0,"10.1111/1365-2745.13402","Potentilla reptans","SB-3283","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Hoplitis","leucomelana ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,5,3,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,1,0,0,"10.1111/1365-2745.13402","Lotus corniculatus","SB-3371","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Hoplitis","leucomelana ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,5,3,NA,NA,"D. Alomar","M. A. González-Estévez (M. A. G. Estvz)",0,1,0,0,"10.1111/1365-2745.13402","Lotus corniculatus","SB-3372","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Osmia","versicolor ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,5,3,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Lotus corniculatus","SB-3381","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Osmia","versicolor ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,5,3,NA,NA,"D. Alomar","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Lotus corniculatus","SB-3382","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Osmia","versicolor ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,5,3,NA,NA,"D. Alomar","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Potentilla reptans","SB-3384","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Osmia","versicolor ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,5,3,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Lotus corniculatus","SB-3385","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Osmia","versicolor ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2017,5,3,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Lotus corniculatus","SB-3388","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
